COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2      ;;2      ;;2  1/8 ;;2  1/8 ;;2  1/4 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;15 13/16;;16  3/4 ;;17  3/4 ;;18  9/16;;19  3/8 ;;21  3/4 ;;23  7/16;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;13  7/16;;14  7/16;;15  7/16;;16  7/16;;17  1/2 ;;19  7/16;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;9  5/16;;9 15/16;;10  9/16;;11  1/16;;11  9/16;;11 15/16;;12  7/16;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO  DE CUELLO ;;C;CRITICA;;;18  3/16;;18  3/4 ;;19  5/16;;19 15/16;;20  1/2 ;;21  5/8 ;;22 13/16;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO  TAPETE ESPALDA;;C;CRITICA;;;14  1/8 ;;14  7/16;;14  5/8 ;;14  7/8 ;;15  1/8 ;;15  5/8 ;;16  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPET E ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/2 ;;9      ;;;;;;;;;;;;;;;;;;;;;;;
