COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;26  5/8 ;;27  1/8 ;;27  5/8 ;;28  1/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;14  3/4 ;;15  1/4 ;;15  7/8 ;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/2 ;;7  3/4 ;;8      ;;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICA;;;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE CINTURA ESPALDA;;P;CRITICA;7 /16;  7/16;16  1/2 ;;17  1/2 ;;18  3/4 ;;20  1/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  1/4 ;25  1/4 ;;25  5/8 ;;26      ;;26  3/8 ;;26  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  7/16;13  3/8 ;;14  1/8 ;;14  7/8 ;;15  7/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  7/16;  7/16;8  1/2 ;;8  7/8 ;;9  1/4 ;;9  1/2 ;;10      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ;;C;CRITICA;;;11  1/2 ;;11  3/4 ;;12      ;;12  3/8 ;;12  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE CUELLO ;;C;CRITICA;;;17      ;;17  1/2 ;;18      ;;18  5/8 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
