COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);1X;;2X;;3X;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE CINTURA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;24      ;;26      ;;28      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CADERA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;26  3/8 ;;28  3/8 ;;30  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;SISA RECTA ESPALDA;;P;CRITICA;;;9  1/8 ;;9 11/16;;10  5/16;;;;;;;;;;;;;;;;;;;;;;;
R;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  9/16;;7 13/16;;8  1/16;;;;;;;;;;;;;;;;;;;;;;;
S;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1 13/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CADERA ESPALDA;;P;CRITICA;;;24  1/4 ;;24  1/4 ;;24  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE CINTURA  ESPALDA;;P;CRITICA;;;16  9/16;;16 15/16;;17  5/16;;;;;;;;;;;;;;;;;;;;;;;
W;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;18      ;;19  1/4 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
X;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;25      ;;25  1/8 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12 15/16;;13  9/16;;14  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Z;LARGO DE CINTURON EN COSTURA;;C;CRITICA;;;81  1/4 ;;85  1/4 ;;89  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
A1;ALTO DE CINTURON;;C;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
A2;LARGO DE CINTURON EN EL CENTRO;;C;CRITICA;;;84      ;;88      ;;92      ;;;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE SOLAPA DELANTERO;;C;CRITICA;;;56  1/8 ;;56  7/8 ;;57  5/8 ;8      ;;;;;;;;;;;;;;;;;;;;;;
A4;ALTO DE SOLAPA EN FALDON;;C;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
A5;ALTO DE SOLAPA EN CENTRO ESPALDA;;C;CRITICA;;;4  1/8 ;;4  1/8 ;;4  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
A6;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  5/8 ;;13  7/8 ;;14  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
A7;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
A8;LARGO DE PRESILLA CINTURON INTERNO;;C;CRITICA;;;18      ;;18      ;;18      ;;;;;;;;;;;;;;;;;;;;;;;
A9;ALTO DE PRESILLA CINTURON INTERNO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
A10;LARGO DE ENTRETELA DE BOLSILLO;;C;CRITICA;;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
A11;ALTO DE ENTRETELA DE BOLSILLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
A12;LARGO DE PRESILLA DE CINTURA;;C;CRITICA;;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;;;;;
A13;ALTO DE PRESILLA DE CINTURA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
A14;LARGO DE BOLSILLO;;C;CRITICA;;;9  7/8 ;;10  1/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
A15;ANCHO DE BOLSILLO;;C;CRITICA;;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
A16;LARGO DE PRESILLA DE CUELLO;;C;CRITICA;;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;;;;;
A17;ALTO DE PRESILLA DE CUELLO;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
