COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;7  7/8 ;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;
P;ALTO DE CURVA FALDON;;P;CRITICA;  1/4 ;  1/4 ;;;2  5/16;;2  5/16;;2  5/16;;2  5/16;;2  5/16;;;;;;;;;;;;;;;;
Q;ANCHO DE BICEP EN PUNTA;;P;CRITICA;  3/8 ;  3/8 ;;;16      ;;16  3/4 ;;17  3/8 ;;18  1/4 ;;19      ;;;;;;;;;;;;;;;;
R;ANCHO DE BICEP A 1 3/8 BAJO SISA;;P;CRITICA;  3/8 ;  3/8 ;;;14  3/8 ;;15  1/8 ;;15  7/8 ;;16  5/8 ;;17  3/8 ;;;;;;;;;;;;;;;;
S;ANCHO DE ABERTURA DE MANGA EN QUIEBRE;;P;CRITICA;  3/8 ;  3/8 ;;;12  7/8 ;;13  5/8 ;;14  3/8 ;;15  1/8 ;;15  7/8 ;;;;;;;;;;;;;;;;
T;ANCHO DE ABERTURA DE MANGA EN BORDE;;P;CRITICA;  3/8 ;  3/8 ;;;14  1/8 ;;14  7/8 ;;15  5/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;
U;ANCHO DE CABEZA DE MANGA 3 3/8 DE BORDE SUPERIOR;;P;CRITICA;  3/8 ;  3/8 ;;;9  7/8 ;;10  1/8 ;;10  5/16;;10  9/16;;10 13/16;;;;;;;;;;;;;;;;
V;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;
W;ANCHO DE  CUELLO ;;C;CRITICA;  1/4 ;  1/4 ;;;15  1/2 ;;16  1/8 ;;16  3/4 ;;17  1/2 ;;17  3/4 ;;;;;;;;;;;;;;;;
X; ALTO CUELLO;;C;CRITICA;  1/4 ;  1/4 ;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;
Y;ANCHO DE TAPETE ;;;;;;;;12  1/4 ;;12  1/2 ;;12  3/4 ;;13      ;;13  1/8 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;;;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
