COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/16;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;9  9/16;;10  1/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2  1/4 ;;2  1/4 ;;2  3/8 ;;2  3/8 ;;2  1/2 ;;2  1/2 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA; 3/8;  5/16;21 15/16;;22 13/16;;23 11/16;;24  3/16;;24 11/16;;24  5/16;;23  9/16;;;;;;;;;;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA; 3/8; 3/8;14  3/4 ;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18 13/16;;20  7/8 ;;22  7/16;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/2 ;;9  1/4 ;;10      ;;10  1/2 ;;11      ;;11  3/4 ;;12  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CAPUCHA EN BORDE;;P;CRITICA;;;14  3/4 ;;15  3/16;;15  1/2 ;;15  7/8 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CAPUCHA;;P;CRITICA;;;11  3/8 ;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;12  7/8 ;;13  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CAPUCHA EN ESCOTE;;P;CRITICA;;;11      ;;11  5/16;;11 11/16;;11 15/16;;12  5/16;;12 15/16;;13  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BOLSILLO LADO SUPERIOR;;P;CRITICA;;;12  3/8 ;;12  3/8 ;;13      ;;13      ;;13  5/8 ;;13  5/8 ;;13  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE BOLSILLO;;C;CRITICA;;;8  7/8 ;;8  7/8 ;;9  3/8 ;;9  3/8 ;;9  7/8 ;;9  7/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE BOLSILLO EN PARTE INFERIOR DE ABERTURA DE BOLSILLO;;C;CRITICA;;;16  5/8 ;;16  5/8 ;;17  3/4 ;;17  3/4 ;;18  3/4 ;;18  3/4 ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE BOLSILLO LADO INFERIOR;;C;CRITICA;;;11  1/2 ;;11  1/2 ;;12  1/2 ;;12  1/2 ;;13  1/2 ;;13  1/2 ;;13  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8  1/4 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  5/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE PUÑO;;C;CRITICA;;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE PUÑO;;C;CRITICA;;;7  7/8 ;;8  5/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CORDON DE CAPUCHA;;C;CRITICA;;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
A2;ALTO DE CORDON DE CAPUCHA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14  3/8 ;;14  5/8 ;;14  7/8 ;;15  1/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
