FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/08/2020
HOJA DE MEDIDAS DE MOLDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266
FECHA DE GENERACION:;;17/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8858
FECHA DE ACTUALIZACION:;;30/05/2023;SE CORRIGE EL CODIGO (G) TALLA XS;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;;;2.0%
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;;;03251-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;3.0%
ESTILO CLIENTE:;;AN06426;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.0%;;;;;;1.0%
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;1.0%;;;;;;PRODUCCION PROGRAMA # 426-431
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 62;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;LEANDRO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;
A;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;27  3/4 ;;28  1/4 ;;28  3/4 ;;29  1/4 ;;29  3/4 ;;30  1/4 ;;;;;;;;;;;;;;;;;;
B;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27      ;;27  1/2 ;;28      ;;28  1/2 ;;29      ;;29  1/2 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;
D;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;-;-;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;;;;;;;;;;;;;;;;;
E;ANCHO PECHO DELANTERO-ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;23      ;;;;;;;;;;;;;;;;;;
F;ABERTURA DE FALDON DELANTERO-ESPALDA;;P;CRITICA;;;20  5/8 ;;21  5/8 ;;22  5/8 ;;23  5/8 ;;25  1/8 ;;26  5/8 ;;;;;;;;;;;;;;;;;;
G;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;
H;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8      ;;8  1/2 ;;9      ;;9  1/2 ;;10      ;;10  1/2 ;;;;;;;;;;;;;;;;;;
I;SISA RECTA DELANTERO;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8 11/16;;9  3/8 ;;;;;;;;;;;;;;;;;;
J;CAIDA ESCOTE DELANTERO DESDE HPS;;P;CRITICA;-;-;6      ;;6  1/8 ;;6  1/4 ;;6  3/8 ;;6  1/2 ;;6  5/8 ;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;-;-;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA DESDE HPS;;P;CRITICA;-;-;1  3/16;;1  5/16;;1  7/16;;1  9/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;-;-;7  3/16;;7  9/16;;8  1/8 ;;8  5/8 ;;9  3/8 ;;10  1/16;;;;;;;;;;;;;;;;;;
N;BICEP ANCHO  DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;11  1/4 ;;12      ;;12  3/4 ;;13  1/2 ;;14  1/2 ;;15  1/2 ;;;;;;;;;;;;;;;;;;
P;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  1/4 ;;16      ;;16  3/4 ;;;;;;;;;;;;;;;;;;
Q;LARGO DE COLLARETA ;;C;CRITICA;-;-;29  3/4 ;;30  1/2 ;;31  1/8 ;;31  7/8 ;;32  1/2 ;;33  1/4 ;;;;;;;;;;;;;;;;;;
R;ALTO DE COLLARETA;;C;CRITICA;-;-;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;
1;ANCHO DE MEDIO PECHO DELANTERO A 5;;P;CRITICA;  3/8 ;  3/8 ;12  3/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  5/8 ;;15  3/8 ;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA  5 5/8;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  5/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
