C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/16;18  1/4 ;;19  3/4 ;;21  1/4 ;;22  3/4 ;;24  1/4 ;;25  1/4 ;;26  1/4 ;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  5/16;  3/16;16 3/8;;17 1/8;;17 7/8;;18 5/8;;19 3/8;;20 1/8;;20 7/8;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;7  7/8 ;;8  3/8 ;;8 15/16;;9  7/16;;9 15/16;;10  7/16;;10 15/16;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO ;;P;CRITICA;;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO ;;P;CRITICA;;;2  3/4 ;;3      ;;3  1/4 ;;3  1/2 ;;3  3/4 ;;4      ;;4  1/4 ;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;;;29  9/16;;30  5/16;;31  1/16;;31 13/16;;32  9/16;;33  5/16;;34  1/16;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  5/16;  3/16;17 1/4;;18    ;;18 3/4;;19 1/2;;20 1/4;;21    ;;21 3/4;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10 1/4;;10 3/4;;11 1/4;;11 3/4;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;
N;LARGO SUPERIOR DE MANGA;;P;CRITICA;;;8  1/2 ;;8  3/4 ;;9  1/4 ;;9  5/8 ;;10      ;;10  3/8 ;;10  3/4 ;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;;;16 1/2;;17 1/2;;18 1/2;;19 3/8;;20 3/8;;21 3/8;;22 3/8;;;;;;;;;;;;;
P;ANCHO DE BOCA DE MANGA;;P;CRITICA;  1/2 ;  5/16;13 5/8;;14 5/8;;15 5/8;;16 5/8;;17 1/2;;18  5/16;;19    ;;;;;;;;;;;;;
Q;LARGO DE CUELLO;;C;CRITICA;;;16  5/16;;17  1/8 ;;17 15/16;;18  3/4 ;;19  5/8 ;;20  7/16;;21  1/4 ;;;;;;;;;;;;;
R;ALTO DE CUELLO;;C;CRITICA;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;;;;;;;;;;;;
S;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;11  1/8 ;;11  3/8 ;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;12 10/16;;;;;;;;;;;;;
T;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;MODELISTA: ROXANA GAMARRA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
