B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;6  5/16;;6  7/16;;6  9/16;;6 11/16;;6 13/16;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  7/16;;14 15/16;;15  7/16;;15 15/16;;16 11/16;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO-ESPALDA EN PUNTA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;16 15/16;;17 15/16;;18 15/16;;19 15/16;;21  7/16;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;23  1/4 ;;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;
1;UBICACIÓN DE 1/2  PECHO  DELANTERO DESDE HPS;;P;CRITICA;;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;;;;;;;;;;;;;;;;;;
2;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12 15/16;;13  3/16;;13  7/16;;13 11/16;;14  1/16;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO-ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/2 ;;18  1/2 ;;19  1/2 ;;21      ;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;;;;;;;;;;;;;;;;;;
V;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;; 15/16;;1  1/16;;1  3/16;;1  5/16;;1  7/16;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14 13/16;;15  5/16;;15 13/16;;16  5/16;;17  1/16;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;24      ;;24  1/2 ;;25      ;;25  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;
3;UBICACIÓN DE 1/2  PECHO  ESPALDA DESDE HPS;;P;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE 1/2 PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13 15/16;;14  3/16;;14  7/16;;14 11/16;;15  1/16;;;;;;;;;;;;;;;;;;;
P;SISA  RECTA DELANTERO;;P;CRITICA;;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
Q;SISA RECTA ESPALDA;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  7/16;;9  3/16;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;32  1/8 ;;32  7/8 ;;33  5/8 ;;34  3/8 ;;35  1/8 ;;;;;;;;;;;;;;;;;;;
S;ALTO  DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA PUÑO;;C;CRITICA;;;15  7/8 ;;16  5/8 ;;17  3/8 ;;18  1/8 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;
U;ALTO  DE COLLARETA PUÑO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
A1;LARGO DE MANGA;;P;CRITICA;  3/8 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;
B2;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;12      ;;13      ;;13  7/8 ;;14  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;
C3;BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;11  1/4 ;;12  1/8 ;;12  7/8 ;;13  5/8 ;;14  3/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;NUEVA FORMAS DE MEDIR HPS ES DESDE BORDE COLLARETA;;;;;;;;;;;;;;;;;;;;;;;;;;;
