N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;16.1;;16.9;;17.7;;18.5;;19.3;;20.1;;20.9;;21.7;;22.5;;23.3;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;38.4;;40.0;;41.9;;43.8;;45.7;;47.9;;50.1;;52.3;;54.5;;56.7;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;1.10;1.00;20.2;;20.9;;21.5;;22.2;;22.9;;23.8;;24.7;;25.7;;26.7;;27.8;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;1.10;0.70;72.9;;74.4;;75.9;;77.4;;78.9;;80.9;;82.9;;84.9;;86.9;;88.9;;;;;;;;;
5;LARGO DE TAJO;;P;CRITICA;;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;19.8;;20.5;;21.2;;21.9;;22.6;;23.3;;24.0;;24.7;;25.4;;26.1;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;39.8;;41.1;;42.9;;44.7;;46.4;;49.4;;52.3;;55.2;;58.1;;61.0;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;33.8;;35.0;;36.6;;38.2;;39.9;;41.8;;43.8;;45.8;;47.8;;49.8;;;;;;;;;
U;ANCHO DE MANGA A 7CM  DESDE CABEZA DE MANGA;;P;CRITICA;;;20.3;;20.7;;21.3;;22.1;;23.0;;23.8;;24.9;;26.0;;27.1;;28.2;;;;;;;;;
V;LARGO DE CUELLO ;;C;CRITICA;;;38.5;;38.5;;41.0;;41.0;;43.5;;43.5;;46.0;;46.0;;49.0;;49.0;;;;;;;;;
W;ALTO DE CUELLO  EN CENTRO;;C;CRITICA;;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;;;;;;;;
X;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;;;;;;;;
Y;LARGO DE PUÑO;;C;CRITICA;;;30.8;;32.0;;33.4;;34.8;;36.2;;38.0;;39.8;;41.6;;43.4;;45.2;;;;;;;;;
Z;ALTO DE PUÑO;;C;CRITICA;;;3.3;;3.3;;3.3;;3.3;;3.3;;3.3;;3.3;;3.3;;3.3;;3.3;;;;;;;;;
A1;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;46.7;;47.9;;49.1;;50.3;;51.5;;52.7;;53.9;;55.1;;56.3;;57.5;;;;;;;;;
B1;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;6.1;;;;;;;;;
C1;LARGO DE BANDA INTERIOR;;C;CRITICA;;;46.7;;47.9;;49.1;;50.3;;51.5;;52.7;;53.9;;55.1;;56.3;;57.5;;;;;;;;;
D1;ALTO DE BANDA INTERIOR;;C;CRITICA;;;4.6;;4.6;;4.6;;4.6;;4.6;;4.6;;4.6;;4.6;;4.6;;4.6;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
