FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7/09/2022;;;;
HOJA DE MEDIDAS DE MOLDE-PAÑOS LAVADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;7/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01244-P1;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;;;;
CLIENTE:;;JCREW;;;;;;;;;ESTILO PROPIO 1:;;;;;;02614-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;
ESTILO CLIENTE:;;195214;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.5%;;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;HOLIDAY 23;;;;;;;;TRAVEZ;;;;1.5%;;;;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XXXS-XXS-XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;-1.5%;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA 010;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;           LEANDRO SILVA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;j;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7  1/16;;7  1/4 ;;7  7/16;;7  3/4 ;;7 15/16;;8  1/4 ;;8  7/16;;8  3/4 ;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15 13/16;;16  1/16;;16  9/16;;17  1/16;;17  9/16;;18  3/16;;18 13/16;;19  3/16;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;6  7/8 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17  7/16;;17  3/4 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;22      ;;23  1/4 ;;24  1/2 ;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;18  1/2 ;;18  7/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;23  1/8 ;;24  3/8 ;;25  5/8 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;24  1/4 ;;24  1/2 ;;25      ;;25  1/2 ;;26      ;;26  1/2 ;;27      ;;27  1/2 ;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  1/2 ;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  3/8 ;;3  3/8 ;;3  1/2 ;;3  1/2 ;;8 13/16;;3 13/16;;4  1/16;;8  3/16;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  5/16;;15  5/8 ;;16  1/8 ;;16  5/8 ;;17  1/8 ;;17  3/4 ;;18  3/8 ;;18  3/4 ;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;7      ;;7  1/2 ;;8  1/16;;8  1/2 ;;9  1/16;;9  1/2 ;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;23  1/2 ;;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  5/16;19  9/16;;19 13/16;;20  5/16;;20  3/4 ;;21  5/16;;21 15/16;;22  1/8 ;;21  5/16;;;;;;;;;;ESCALADO COMO PIDE EL CLIENTE ;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;11  9/16;;12  1/16;;12 11/16;;13 15/16;;15      ;;16  3/8 ;;17  3/8 ;;18  3/8 ;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  3/8 ;;7  5/8 ;;8  1/16;;8  1/2 ;;9  1/16;;9  1/2 ;;10      ;;10  1/2 ;;;;;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;16  1/16;;16  1/4 ;;17      ;;17  1/2 ;;18      ;;18  3/8 ;;19      ;;19  1/2 ;;;;;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE HOMBRO A HOMBRO;;C;CRITICA;;;21  1/2 ;;22      ;;22  1/2 ;;23      ;;23  1/2 ;;24      ;;24  1/2 ;;25      ;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE HOMBRO A HOMBRO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13 15/16;;14  3/16;;14  5/8 ;;15  3/16;;15  5/8 ;;16  1/4 ;;16 15/16;;17  1/4 ;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;15      ;;15  1/2 ;;16      ;;16  1/2 ;;17      ;;17  3/4 ;;18  1/16;;;;;;;;;;;;;;;
5;ALTO DE PUÑO;;C;CRITICA;;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;;;;;;;;;;;;;;
6;ANCHO DE PUÑO;;C;CRITICA;;;5  3/4 ;;6      ;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9      ;;;;;;;;;;;;;;;
7;ALTO DE VENTZ DELANTERO-ESPALDA;;P;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
