COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;
L;SISA RECTA EN CANESU;;P;CRITICA;;;4  1/4 ;;4  1/4 ;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;
M;ANCHO DE PECHO -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  5/16;;18 13/16;;19 13/16;;20 13/16;;21 13/16;;23  5/16;;24  9/16;;25 13/16;;;;;;;;;;;;;;;
O;SISA RECTA EN DELANTERO INFERIOR;;P;CRITICA;;;2 13/16;;3  1/16;;3  5/16;;3  7/8 ;;4  1/8 ;;4  7/8 ;;5  1/8 ;;5  5/8 ;;;;;;;;;;;;;;;
P;ALTO DE CANESU;;P;CRITICA;  1/4 ;  5/16;6  1/4 ;;6  1/4 ;;6  1/2 ;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;;;;;;;;;ESCALADO COMO PIDE EL CLIENTE ;;;;;
Q;ANCHO DE CANESU DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17      ;;17  1/2 ;;18  7/16;;19  7/16;;20  5/16;;21 11/16;;22 13/16;;24  1/16;;;;;;;;;;;;;;;
R;ANCHO DE DELANTERO SUPERIOR;;P;CRITICA;  3/8 ;  3/8 ;17      ;;17  1/2 ;;18  7/16;;19  7/16;;20  5/16;;21 11/16;;22 13/16;;24  1/16;;;;;;;;;;;;;;;
S;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/4 ;;14  1/4 ;;15  5/16;;16  5/16;;17  7/16;;18  7/16;;19  7/16;;;;;;;;;;;;;;;
T;LARGO DE MANGA;;P;CRITICA;  3/8 ;  5/16;7  1/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;;;;;;;;;;;;;;
U;ANCHO DE MANGA INFERIOR;;P;CRITICA;  3/8 ;  3/8 ;12  7/16;;12 15/16;;13  7/8 ;;14 13/16;;15  3/4 ;;16 11/16;;17  9/16;;18  7/16;;;;;;;;;;;;;;;
V;ANCHO DE PIEZA MANGA 1 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  7/16;;12 15/16;;13  7/8 ;;14 13/16;;15  3/4 ;;16 11/16;;17  9/16;;18  7/16;;;;;;;;;;;;;;;
W;ANCHO DE PIEZA MANGA 1 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  5/16;;12 13/16;;13  3/4 ;;14  5/8 ;;15  1/2 ;;16  7/16;;17  1/4 ;;18  3/16;;;;;;;;;;;;;;;
X;ALTO DE PIEZA MANGA  1;;P;CRITICA;  5/16;  5/16;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
Y;ANCHO DE PIEZA MANGA 2 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  5/16;;12 13/16;;13  3/4 ;;14  5/8 ;;15  1/2 ;;16  7/16;;17  1/4 ;;18  3/16;;;;;;;;;;;;;;;
Z;ANCHO DE PIEZA MANGA 2 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;12  3/4 ;;13  5/8 ;;14  1/2 ;;15  3/8 ;;16  3/16;;17  1/16;;17 15/16;;;;;;;;;;;;;;;
