COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2XL;;3XL;;4XL;;5XL;;6XL;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/4 ;;13  7/8 ;;14  3/8 ;;14 15/16;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;21  5/8 ;;22  1/2 ;;23  3/8 ;;24  1/8 ;;25  1/16;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;1 11/16;;1 11/16;;1 11/16;;1 11/16;;1 11/16;;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;15  5/16;;15 11/16;;16  3/16;;16  1/2 ;;16 15/16;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;22      ;;23      ;;23  3/4 ;;24  1/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDID PECHO ESPALDA;;P;CRITICA;;;9  3/8 ;;9  3/8 ;;9  3/8 ;;9  3/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;22  1/2 ;;23  1/2 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
