C;ANCHO DE FALDON DELANTERO PIEZA;;P;CRITICA;  3/8 ;  3/8 ;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14  1/8 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO INDIVIDUAL;;P;CRITICA;  3/8 ;  3/8 ;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  1/2 ;;10  1/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;4 15/16;;5  3/8 ;;5  7/8 ;;6  3/8 ;;7      ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;3  5/8 ;;3  3/4 ;;3  7/8 ;;5      ;;5  1/8 ;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;8  7/8 ;;9  1/16;;9  3/16;;9  5/16;;9  1/2 ;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  5/8 ;;27  1/8 ;;27  5/8 ;;28  1/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;23      ;;24      ;;25      ;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON ESPALDA DE PUNTA A PUNTA;;P;CRITICA;;;23  3/8 ;;24  3/8 ;;25  3/8 ;;26  3/8 ;;27  7/8 ;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;22 11/16;;23 11/16;;24 11/16;;25 11/16;;27  3/16;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;5  3/8 ;;5  3/8 ;;6  5/16;;6 13/16;;7  7/16;;;;;;;;;;;;;;;;;
M;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;
N;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ; 15/16;;1  1/16;;1  3/16;;1  5/16;;1  7/16;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;19  1/8 ;;19  3/8 ;;19  5/8 ;;19  7/8 ;;;;;;;;;;;;;;;;;
P;BICEP ANCHO SUPERIOR DE MANGA;;C;CRITICA;;;11  7/16;;12  3/8 ;;13  1/4 ;;14  1/8 ;;15  5/16;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;C;CRITICA;;;7  3/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;
R;MEDIDA DE FALDON CURVO DEL-ESP;;;;;;4      ;;4      ;;4      ;;4      ;;4      ;;;;;;;;;;;;;;;;;
S;LARGO DE COLLARETA DE ESCOTE;;;;;;30  5/8 ;;31  3/8 ;;32  1/8 ;;32  7/8 ;;33  5/8 ;;;;;;;;;;;;;;;;;
T;ALTO DE COLLARETA DE ESCOTE;;;;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
