FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/07/2021;;;
FECHA DE GENERACION:;;07/07/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1854
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;;;00533-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;;;
ESTILO CLIENTE:;;AN09181;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;4.5%;;;;;;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;2.5%;;;;;;PRODUCCION PROGRAMA 564;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;3.5%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA 14;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6 15/16;;7  3/16;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;; 15/16;;1  1/16;;1  3/16;;1  5/16;;1  7/16;;1  9/16;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9  1/4 ;;10      ;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;27  1/4 ;;27  3/4 ;;28  1/4 ;;28  3/4 ;;29  1/4 ;;29  3/4 ;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO  ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23      ;;24  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;;;
