COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;XXXL;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  5/16;;15  5/16;;16  3/8 ;;17  3/8 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;8  5/8 ;;8 11/16;;9  3/16;;9  3/4 ;;10  1/4 ;;10 13/16;;11  3/8 ;;;;;;;;;;;;;;
P;LARGO DE  CUELLO ;;C;CRITICA;;;16  1/8 ;;16 15/16;;17  3/4 ;;18  9/16;;19  3/8 ;;20  3/16;;21      ;;;;;;;;;;;;;;
Q; ALTO CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ;;C;CRITICA;;;12 15/16;;13  3/16;;13  7/16;;13 11/16;;13 15/16;;14  3/16;;14  7/16;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;
T;LARGO DE BOLSILLO;;C;CRITICA;;;6  1/16;;6  1/16;;6  1/16;;6  1/16;;6  1/16;;6  5/16;;6  5/16;;;;;;;;;;;;;;
U;ANCHO DE BOLSILLO;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
