COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);32;;34;;36;;38;;40;;42;;44;;46;;48;;50;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;35.8;;36.6;;37.4;;38.2;;39.5;;40.7;;42.0;;43.3;;44.7;;46.1;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;16.2;;17.0;;17.8;;18.6;;19.2;;19.8;;20.4;;21.3;;22.2;;23.1;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;62.5;;63.3;;64.0;;64.8;;65.8;;66.8;;67.8;;69.0;;73.3;;71.5;;;;;;;;;
5;LARGO DE TAJO;;P;CRITICA;;;11.2;;11.2;;11.2;;11.2;;11.2;;11.2;;11.2;;11.2;;11.2;;11.2;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;17.4;;18.0;;18.7;;19.3;;19.9;;20.5;;21.2;;21.9;;22.6;;23.5;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;33.2;;34.2;;35.2;;36.3;;37.3;;38.3;;39.4;;40.7;;42.0;;43.3;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;30.2;;31.2;;32.2;;33.3;;34.3;;35.4;;36.4;;37.7;;39.0;;40.4;;;;;;;;;
U;ANCHO DE MANGA A 7CM  DESDE CABEZA DE MANGA;;P;CRITICA;;;18.0;;17.9;;18.0;;18.2;;18.5;;18.8;;19.1;;19.7;;20.3;;20.7;;;;;;;;;
V;LARGO DE CUELLO ;;C;CRITICA;;;37.0;;38.0;;38.0;;38.0;;39.0;;40.0;;41.0;;42.0;;43.0;;44.0;;;;;;;;;
W;ALTO DE CUELLO  EN CENTRO;;C;CRITICA;;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;;;;;;;;
X;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.7;;6.7;;6.7;;6.7;;6.7;;6.7;;6.7;;6.7;;6.7;;6.7;;;;;;;;;
Y;LARGO DE PUÑO DERECHO E  IZQUIERDO;;C;CRITICA;;;27.5;;28.4;;29.3;;30.2;;31.2;;32.1;;33.0;;34.2;;35.4;;36.5;;;;;;;;;
Z;ALTO DE PUÑO DERECHO E  IZQUIERDO;;C;CRITICA;;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
