COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;
L;ABERTUIRA DE CUELLO ESPALDA;;P;CRITICA;;;4 11/16;;4 13/16;;5      ;;5  3/16;;5  5/16;;5  7/16;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;
N;ALTO DE CANESU ESPALDA;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;;;;;;;;;;;;;;;;;;
O;SISA RECTA CANESU ESPALDA;;P;CRITICA;;;4 11/16;;4 15/16;;5  3/16;;5  7/16;;5 11/16;;5  7/8 ;;;;;;;;;;;;;;;;;;;
P;ANCHO INFERIOR DE CANESU ESPALDA;;P;CRITICA;;;4  5/16;;4  3/8 ;;4  3/8 ;;4  7/16;;4  7/16;;4  1/2 ;;;;;;;;;;;;;;;;;;;
Q ;ALTO DE  COSTADO CANESU ESPALDA;;P;CRITICA;;;5  1/8 ;;5  3/8 ;;5  5/8 ;;5  7/8 ;;6  1/8 ;;6  7/16;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;4  9/16;;4 13/16;;5  1/16;;5  5/16;;5  9/16;;5 13/16;;;;;;;;;;;;;;;;;;;
S;ANCHO DE MANGA (BICEP);;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;15  1/2 ;;16  1/4 ;;17      ;;18 11/16;;20  1/4 ;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;13      ;;13 13/16;;14  9/16;;15  3/4 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA DUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;28  5/8 ;;29  7/16;;30  3/16;;31      ;;31  3/4 ;;32  1/2 ;;;;;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA ESPALDA;;C;CRITICA;;;18      ;;18  1/2 ;;19      ;;19  1/2 ;;20  1/4 ;;21      ;;;;;;;;;;;;;;;;;;;
X;ALTO DE COLLARETA ESPALDA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
