COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/16;;6  5/16;;6  9/16;;6 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/4 ;  1/4 ;12  5/16;;12 13/16;;13  5/16;;13 15/16;;14  3/4 ;;15  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;7  7/16;;7  7/8 ;;8  3/8 ;;8 13/16;;9  5/16;;9 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;30  1/4 ;;30  3/4 ;;31  1/4 ;;31 13/16;;32  7/16;;32 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICA;;;23  5/16;;24  1/8 ;;24  5/8 ;;25  3/16;;26      ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE CUELLO EN BORDE;;C;CRITICA;;;23  3/4 ;;24  1/2 ;;25      ;;25  9/16;;26  3/8 ;;26  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;12  3/8 ;;12  7/8 ;;13  3/8 ;;14      ;;14  3/4 ;;15  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;12  5/8 ;;13  1/8 ;;13  5/8 ;;14  1/4 ;;15      ;;15  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;LARGO DE TAPETE;;C;CRITICA;;;14 11/16;;14 15/16;;15  3/16;;15  7/16;;15  3/4 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;LARGO DE SISA EN BORDE;;C;CRITICA;;;16 13/16;;17 13/16;;18 13/16;;19 13/16;;21  1/16;;21 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;LARGO DE SISA EN CENTRO;;C;CRITICA;;;16  5/16;;17  5/16;;18  5/16;;19  5/16;;20  9/16;;21  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;ALTO DE SISA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
