FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;18/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX;;;;;;;;;ESTILO PROPIO 1:;;;;;;01522-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;MGK10390;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.0%;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;SPRING '23;;;;;;;;TRAVEZ;;;;4.0%;;;3EG4
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-2XL-3XL;;;;;;;;LARG.DE MANGA;;;;1.0%;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA 3;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;YOEL-RICHARD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE MANGA Y FALDÓN;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;26 5/8;;27 5/8;;28 3/8;;29 3/8;;30 1/8;;31 1/8;;31  7/8 ;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;28    ;;29    ;;30    ;;31    ;;31 7/8;;32 7/8;;33  3/4 ;;;;;;;;;;;;;
C;SISA RECTA DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;10 3/4;;11 3/8;;11 7/8;;12 11/16;;13 3/8;;15 1/8;;16  3/8 ;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;12 5/8;;13 1/4;;13 7/8;;14 3/4;;15 5/8;;17 3/8;;18  3/4 ;;;;;;;;;;;;;
E;ANCHO PECHO EN PUNTA ;;P;CRITICA;  3/8 ;  3/8 ;20 4/5;;21 4/5;;22 4/5;;24 1/3;;25 4/5;;29 1/3;;31 13/16;;;;;;;;;;;;;
F;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;20 1/5;;21 3/7;;22 1/3;;23 4/5;;25 1/3;;28 2/3;;31  3/16;;;;;;;;;;;;;
G;CAIDA CUELLO DELANTERO;;P;CRITICA;;;2 1/8;;2 1/4;;2 1/8;;2 1/4;;2 1/8;;2 3/8;;2  3/8 ;;;;;;;;;;;;;
H;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;5 1/2;;5 3/4;;5 3/4;;6    ;;6    ;;6 1/2;;6  3/4 ;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;3 1/8;;3 3/8;;3 1/8;;3 3/8;;3 1/8;;3 1/2;;3  1/2 ;;;;;;;;;;;;;
J;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;; 3/8;; 3/8;; 3/8;; 3/8;; 3/8;;  7/16;;  7/16;;;;;;;;;;;;;
K;ANCHO DE MANGA  EN PUNTA ;;P;CRITICA;  3/8 ;  3/8 ;16  1/8 ;;17    ;;17  7/8 ;;18 4/5;;19 2/3;;22    ;;23  1/2 ;;;;;;;;;;;;;
L;LARGO DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;14    ;;14 13/16;;15 11/16;;16  9/16;;17  7/16;;18  7/16;;19  7/16;;;;;;;;;;;;;
LL;ANCHO SUPERIOR DE MANGA ;;P;CRITICA;;;4 1/4;;4 1/4;;4 5/8;;4 5/8;;5 1/8;;5 1/8;;5  1/2 ;;;;;;;;;;;;;
M;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;14 1/8;;15    ;;15 13/16;;16 13/16;;17 3/4;;19 1/2;;21  1/16;;;;;;;;;;;;;
N ;ANCHO DE CUELLO  INFERIOR-SUPERIOR;;C;CRITICA;;;12 1/2;;12 1/2;;12 3/8;;12 1/4;;12    ;;11 7/8;;11  1/2 ;;;;;;;;;;;;;
Ñ;ALTO DE CUELLO INFERIOR-SUPERIOR;;C;CRITICA;;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1  1/4 ;;;;;;;;;;;;;
O;ANCHO DE MEDIA LUNA;;C;CRITICA;;;6 7/8;;7 1/8;;7 3/8;;7 5/8;;7 7/8;;8 3/8;;8  7/8 ;;;;;;;;;;;;;
P;ALTO DE MEDIA LUNA;;C;CRITICA;;;3 15/16;;4  1/16;;4  3/16;;4  5/16;;4  7/16;;4 11/16;;4 15/16;;;;;;;;;;;;;
Q;ANCHO DE PECHERA SUP;;C;CRITICA;;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2  1/4 ;;;;;;;;;;;;;
R;LARGO DE PECHERA SUP;;C;CRITICA;;;12 3/4;;13 1/4;;13 1/4;;13 3/4;;13 3/4;;14 1/4;;14  1/4 ;;;;;;;;;;;;;
S;ANCHO PECHERA INFERIOR ;;C;CRITICA;;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;1  7/8 ;;;;;;;;;;;;;
T;ANCHO DE TAPETE;;C;CRITICA;;;11 1/2;;11 7/8;;12 1/8;;12 3/8;;12 3/4;;13 1/4;;13  3/4 ;;;;;;;;;;;;;
U;ALTO DE TAPETE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1  1/8 ;;;;;;;;;;;;;
V;TAJO DELANTERO;;P;CRITICA;;;5 3/8;;5 5/8;;5 5/8;;5 7/8;;5 7/8;;6 1/8;;6  1/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
