FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;8/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;;;03043-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;AN14519;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.0%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;2.0%;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA  074;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;RICHARD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE MANGA Y FALDÓN;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;
A;ANCHO DE HOMBROS DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13 3/8;;13 7/8;;14 3/8;;14 7/8;;15 5/8;;;;;;;;;;;;;;;;;
B;ABERTURA DE CUELLO  DELANTERO;;P;CRITICA;;;7 1/4;;7 1/2;;7 3/4;;8    ;;8 1/4;;;;;;;;;;;;;;;;;
C;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3    ;;3 1/8;;3 1/4;;3 3/8;;3 1/2;;;;;;;;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;25 1/2;;26    ;;26 1/2;;27    ;;27 1/2;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17    ;;18    ;;19    ;;20    ;;21 1/2;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19    ;;20    ;;21    ;;21 7/8;;23 1/4;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;5 1/4;;5 3/4;;6 3/8;;6 7/8;;7 5/8;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16    ;;16 1/2;;17    ;;17 1/2;;18 1/4;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;3 1/8;;3 1/4;;3 3/8;;3 1/2;;3 5/8;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;9 7/8;;10 1/8;;10 3/8;;10 5/8;;10 7/8;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28 7/8;;29 3/8;;29 7/8;;30 3/8;;30 7/8;;;;;;;;;;;;;;;;;
L;LARGO DE TAJO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;6    ;;6    ;;6    ;;6    ;;6    ;;;;;;;;;;;;;;;;;
M;ANCHO DE TAJO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ; 3/8;; 3/8;; 3/8;; 3/8;; 3/8;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;8 1/4;;8 3/4;;9 1/4;;9 3/4;;10 1/2;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;11  3/16;;12    ;;12 3/4;;13 1/2;;14 13/16;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7 1/4;;7 3/4;;8 1/4;;8 3/4;;9 1/4;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24 13/16;;25  1/16;;25  5/16;;25  9/16;;25 13/16;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;26    ;;27    ;;28    ;;29    ;;30    ;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA DE CUELLO ;;C;CRITICA;;;2 1/2;;2 1/2;;2 1/2;;2 1/2;;2 1/2;;;;;;;;;;;;;;;;;
T;ANCHO DE PECHERA DERECHA E IZQUIERDA;;C;CRITICA;;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;;;;;;;;;;;;;;;;
U;LARGO DE PECHERA DERECHA E IZQUIERDA;;C;CRITICA;;;9    ;;9    ;;9    ;;9    ;;9    ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
