COD.;DESCRIPCIÓN;;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;CRITICA;  5/16;  1/4 ;24  1/2 ;;25;;25  1/2 ;;26  1/8 ;;26  3/4 ;;27  1/8 ;;;;;;;;;;;;
R;LARGO DE MANGA;;CRITICA;  3/8 ;  1/4 ;7  3/4 ;;8;;8  1/4 ;;8  1/2 ;;8  3/4 ;;8  7/8 ;;;;;;;;;;;;
S;ANCHO DE BICEPS;;CRITICA;  3/8 ;  3/8 ;13  5/16;;14  1/4 ;;15  1/8 ;;15  7/8 ;;16 15/16;;17 11/16;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;CRITICA;  3/8 ;  3/8 ;12  5/16;;13  1/8 ;;14;;14  3/4 ;;15  7/8 ;;16  9/16;;;;;;;;;;;;
U;"ANCHO DE MANGA A 3"" DE CABEZA DE MANGA";;CRITICA;;;8 11/16;;9  1/16;;9  3/8 ;;9  5/8 ;;10;;10  5/16;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;CRITICA;;;17 15/16;;18 11/16;;19  1/4 ;;19  7/8 ;;20 11/16;;21  1/16;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;CRITICA;;;17  9/16;;18  5/16;;18 15/16;;19  1/2 ;;20  5/16;;20  3/4 ;;;;;;;;;;;;
X;ALTO DE CUELLO ;;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;CRITICA;;;13  1/4 ;;13  1/2 ;;13  3/4 ;;14;;14  5/16;;14  7/16;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;
