COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE CURVA DELANTERO Y ESPALDA;;P;CRITICA;;;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;3  3/4 ;;3 13/16;;3 15/16;;4  1/16;;4  1/16;;;;;;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;9 15/16;;;;;;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;16  5/16;;16 15/16;;17  9/16;;18  3/8 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;;;;
;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;14  3/4 ;;15  7/16;;16  1/4 ;;16 15/16;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE  CUELLO ;;C;CRITICA;;;;;15 15/16;;16  5/8 ;;17  3/8 ;;18      ;;18  1/4 ;;;;;;;;;;;;;;;;;;;;;;
T; ALTO CUELLO;;C;CRITICA;;;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE ;;C;CRITICA;;;;;11  1/2 ;;11  3/4 ;;12      ;;12  1/4 ;;12  1/4 ;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE ;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
