C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;23  1/8 ;;24  1/8 ;;25  1/8 ;;26  1/8 ;;27  5/8 ;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;;;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  3/4 ;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;22  1/2 ;;23  1/2 ;;24  1/2 ;;25  1/2 ;;27      ;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;22  1/8 ;;23  1/16;;24  1/16;;25      ;;26  1/2 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  1/4 ;;;;;;;;;;;;;;;
K;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;20 15/16;;21 15/16;;22 15/16;;23 15/16;;25  7/16;;;;;;;;;;;;;;;
M;SISA RECTA DELANTERO;;P;CRITICA;;;;;6  3/16;;6 11/16;;7  3/16;;7 11/16;;8  7/16;;;;;;;;;;;;;;;
P;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;20  3/8 ;;20  7/8 ;;21  3/8 ;;21  7/8 ;;22  3/8 ;;;;;;;;;;;;;;;
Q;ANCHO DE BICEPS ;;P;CRITICA;  3/8 ;  3/8 ;;;15  5/8 ;;16  1/2 ;;17  1/4 ;;18  1/16;;19  1/4 ;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;13  3/4 ;;14  9/16;;15  3/8 ;;16  1/4 ;;17  3/8 ;;;;;;;;;;;;;;;
S;LARGO DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;;;;;;;;;;;;;;
T;LARGO COLLARETA CUELLO;;C;CRITICA;;;;;22  3/8 ;;23  1/8 ;;23  7/8 ;;24  5/8 ;;25  3/8 ;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CUELLO ;;C;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
