C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;17  1/4 ;;17  5/8 ;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;14      ;;14  1/2 ;;15      ;;15  5/8 ;;16  3/8 ;;16  3/4 ;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;6  7/8 ;;7  1/4 ;;7  5/8 ;;8      ;;8  7/16;;8 11/16;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA;;P;CRITICA;;;17 13/16;;18 13/16;;19 13/16;;21  1/16;;22 13/16;;23 13/16;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;19 15/16;;20 15/16;;21 15/16;;23  3/16;;24 15/16;;25 15/16;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;;28      ;;28  1/2 ;;29      ;;29  5/8 ;;30  1/4 ;;30  5/8 ;;;;;;;;;;;;;;;
J;ALTO DE CURVA DE FALDON ESPALDA;;P;CRITICA;;;7  1/16;;7  1/16;;7  1/16;;7  1/16;;7  1/16;;7  1/16;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;4  5/16;;4  7/16;;4  9/16;;4  3/4 ;;5      ;;5  1/8 ;;;;;;;;;;;;;;;
L;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;7  1/4 ;;;;;;;;;;;;;;;
M;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/4 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;4      ;;4  1/8 ;;;;;;;;;;;;;;;
N;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;14  7/8 ;;15  3/8 ;;16      ;;16  3/4 ;;17  1/8 ;;;;;;;;;;;;;;;
O;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;
P;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15  1/8 ;;15  7/8 ;;16  1/4 ;;;;;;;;;;;;;;;
Q;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  1/8 ;;6  1/2 ;;6  7/8 ;;7  1/4 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;
R;ANCHO DE PECHO DELANTERO;;P;CRITICA;;;16 11/16;;17 11/16;;18 11/16;;19 15/16;;21 11/16;;22 11/16;;;;;;;;;;;;;;;
S;ANCHO DE FALDON DELANTERO;;P;CRITICA;;;18 13/16;;19 13/16;;20 13/16;;22  1/16;;23 13/16;;24 13/16;;;;;;;;;;;;;;;
T;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;;25  3/4 ;;26  1/4 ;;26  3/4 ;;27  3/8 ;;28      ;;28  3/8 ;;;;;;;;;;;;;;;
U;ALTO DE CURVA DE FALDON DELANTERO;;P;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;
F1;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;23  1/8 ;;23  3/8 ;;23  3/4 ;;24      ;;24  3/8 ;;24  1/2 ;;;;;;;;;;;;;;;
G1;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;12  9/16;;13  5/16;;14  1/16;;14 13/16;;15 13/16;;16  9/16;;;;;;;;;;;;;;;
H1;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/16;;8  5/16;;8  5/8 ;;8  7/8 ;;9  3/16;;9  1/2 ;;;;;;;;;;;;;;;
J1;"ANCHO DE MANGA A  3""";;P;CRITICA;;;8      ;;8  1/4 ;;8  9/16;;8  7/8 ;;9  1/4 ;;9  9/16;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA FALDON DELANTERO;;C;CRITICA;;;57  1/4 ;;58  5/8 ;;60      ;;61  7/8 ;;64  1/4 ;;65  5/8 ;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA FALDON DELANTERO;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
X;LARGO DE COLLARETA FALDON ESPALDA;;C;CRITICA;;;34  3/4 ;;35  3/4 ;;36  3/4 ;;38      ;;39  3/4 ;;40  5/8 ;;;;;;;;;;;;;;;
Y;ALTO DE COLLARETA FALDON ESPALDA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
B1;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;12  1/4 ;;12  1/2 ;;12  3/4 ;;13      ;;13  3/8 ;;13  1/2 ;;;;;;;;;;;;;;;
C1;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
D1;LARGO  DE CUELLO;;C;CRITICA;;;16  3/4 ;;17  1/2 ;;18  1/8 ;;18 11/16;;19  9/16;;19 15/16;;;;;;;;;;;;;;;
E1;ALTO DE CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
