A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 15/16;;28 15/16;;29 15/16;;30 15/16;;31 15/16;;32 15/16;;33 15/16;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;27  3/4 ;;30  1/4 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO -ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;27      ;;29  1/2 ;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  3/4 ;;17  1/2 ;;18  1/4 ;;19  1/4 ;;20  1/4 ;;21 13/16;;23  5/16;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  7/16;;8 13/16;;9  9/16;;10  5/16;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;7      ;;7  1/2 ;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  7/16;;2  9/16;;2 11/16;;2 13/16;;2 15/16;;3  3/16;;3  7/16;;;;;;;;;;;;;;;;;;
H;ANCHO DE TAJO DELANTERO;;P;CRITICA;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;;;;;
I;LARGO DE TAJO DELANTERO EN COSTADO;;P;CRITICA;;;2  1/4 ;;2  1/2 ;;2  1/2 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29 13/16;;30 13/16;;31 13/16;;32 13/16;;33 13/16;;34 13/16;;35 13/16;;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;18 15/16;;19 11/16;;20 11/16;;21 11/16;;23  3/16;;24 11/16;;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;8  5/8 ;;9  1/8 ;;9  5/8 ;;10  1/16;;10  7/16;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;
O;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  7/16;;8 15/16;;;;;;;;;;;;;;;;;;
P;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/16;;1  7/16;;1  9/16;;1  9/16;;1 11/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;;
R;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  5/16;;9 15/16;;10  9/16;;11  1/16;;11  9/16;;12  1/16;;12  9/16;;;;;;;;;;;;;;;;;;
S;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  7/16;;16  3/8 ;;17  1/4 ;;18  1/4 ;;19  1/8 ;;20  5/8 ;;22  1/8 ;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13 15/16;;14 13/16;;15 11/16;;16  9/16;;17  7/16;;19      ;;20  7/16;;;;;;;;;;;;;;;;;;
U;LARGO SUPERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;15 11/16;;16  7/16;;17  3/16;;17 15/16;;18 11/16;;19 15/16;;21  3/16;;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO EXTERIOR E INTERIOR;;C;CRITICA;;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;3  3/16;;3  3/16;;;;;;;;;;;;;;;;;;
W;LARGO INFERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;14      ;;14  3/4 ;;15  1/2 ;;16  1/4 ;;17      ;;18  3/8 ;;19  5/8 ;;;;;;;;;;;;;;;;;;
X;LARGO SUPERIOR DE CUELLO INTERIOR;;C;CRITICA;;;15 15/16;;16 11/16;;17  7/16;;18  3/16;;18 15/16;;20  3/16;;21  7/16;;;;;;;;;;;;;;;;;;
Y;LARGO INFERIOR DE CUELLO INTERIOR;;C;CRITICA;;;14  1/4 ;;15      ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18  5/8 ;;19  7/8 ;;;;;;;;;;;;;;;;;;
Z;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;16  3/16;;16 15/16;;17 11/16;;18  7/16;;19  1/8 ;;20  1/4 ;;21  5/8 ;;;;;;;;;;;;;;;;;;
A1;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;
A3;LARGO DE BANDA INTERIOR;;C;CRITICA;;;16  7/16;;17  3/16;;17 15/16;;18 11/16;;19  7/16;;20  1/2 ;;21  7/8 ;;;;;;;;;;;;;;;;;;
A4;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;
A5;ANCHO DE PECHERA-SUPERIOR-INFERIOR;;C;CRITICA;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;;;;;
A6;LARGO DE PECHERA SUP-INFE  EN EL CENTRO;;C;CRITICA;;;4  1/8 ;;4  3/8 ;;4  3/8 ;;4  5/8 ;;4  5/8 ;;4  7/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;
A7;LARGO DE PECHERA SUP-INF EN COSTADO;;C;CRITICA;;;4  1/16;;4  5/16;;4  5/16;;4  9/16;;4  9/16;;4 13/16;;4 13/16;;;;;;;;;;;;;;;;;;
A8;ANCHO DE BOLSILLO;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;
A9;ALTO DE BOLSILLO;;C;CRITICA;;;6  1/4 ;;6  1/4 ;;6  1/2 ;;6  1/2 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;;
B1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5 13/16;;6  1/16;;6  5/16;;6  9/16;;6  7/8 ;;7  3/16;;7  9/16;;;;;;;;;;;;;;;;;;
B2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  5/8 ;;16  3/8 ;;17  3/8 ;;18  3/8 ;;19  7/8 ;;21  3/8 ;;;;;;;;;;;;;;;;;;
B3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;9  1/16;;9  7/16;;;;;;;;;;;;;;;;;;
B4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;20  3/8 ;;21  7/8 ;;;;;;;;;;;;;;;;;;
C1;ALTO ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;
C2;ANCHO ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
