COD.;DESCRIPCIÓN;;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO FRENTE;;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO FRENTE;;CRITICA;  7/16;  7/16;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/4 ;;15      ;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA ;;CRITICA;  7/16;  7/16;13      ;;13  1/2 ;;14      ;;14  1/2 ;;15  1/4 ;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEDIDAS ADICIONALES PARA DELANTEROS CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
