;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;25  5/8 ;;26  1/8 ;;26  5/8 ;;27  1/8 ;;27  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  5/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  3/4 ;;7  3/8 ;;7  7/8 ;;8  1/4 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;6  5/8 ;;7  1/8 ;;7  3/4 ;;8  1/8 ;;9      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;8  3/8 ;;8  1/2 ;;8  5/8 ;;8  3/4 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;  1/4 ;  1/4 ;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14  1/4 ;;15      ;;15  7/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;12      ;;12  3/4 ;;13  5/8 ;;14  3/8 ;;15      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE  CUELLO EXTERIOR ;;C;CRITICA;;;25  1/2 ;;26      ;;26  5/8 ;;27  1/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO INTERIOR;;C;CRITICA;;;23  3/4 ;;24  1/2 ;;25  1/8 ;;25  7/8 ;;26  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ESCOTE;;C;CRITICA;;;19  7/8 ;;20  1/2 ;;21      ;;21  5/8 ;;22  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE ;;C;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
