COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);S;;M;;L;;XL;;XXL;;XXXL;;;;;;;;;;;;;;;
R;ANCHO DE PECHERA  SUP;;C;CRITICA;  1/2 ;5 /16;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;;;;;;;;;;;;;;
S;LARGO PECHERA INTERIOR;;C;CRITICA;;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;;;;;;;;;;;;;;
T;ANCHO DE PECHERA  SUPER;;C;CRITICA;  1/2 ;5 /16;3;;3;;3;;3;;3;;3;;;;;;;;;;;;;;;
U;LARGO DE CUELLO;;C;CRITICA;;;18.375;;19.125;;19 15/16;;20 3/4;;21  9/16;;22 3/8;;;;;;;;;;;;;;;
V;ALTO DE PUNTAS DE CUELLO;;C;CRITICA;;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;;;;;;;;;;;;;;
W;ALTO DE CUELLO CENTRO;;C;CRITICA;;;3  9/16;;3  9/16;;3  9/16;;3  9/16;;3  9/16;;3  9/16;;;;;;;;;;;;;;;
X;ALTO DE MEDIA LUNA;;C;CRITICA;;;4;;4 1/4;;4 1/2;;4 3/4;;5;;5.25;;;;;;;;;;;;;;;
Y;ANCHO DE 1/2 LUNA;;C;CRITICA;;;6 7/8;;7 1/8;;7 3/8;;7 5/8;;7 7/8;;8 1/8;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;
Z1;LARGO DE TAPETE DE ESCOTE ESPALDA;;C;CRITICA;;;24;;24;;24;;24;;24;;24;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
