C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;42.6;;43.3;;43.9;;44.7;;46.0;;47.3;;48.6;;50.2;;51.8;;53.3;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;18.1;;18.5;;18.9;;19.3;;19.7;;20.2;;20.6;;21.2;;21.8;;22.3;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;36.8;;37.8;;38.8;;39.8;;41.1;;42.4;;43.7;;45.0;;46.3;;47.6;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;19.9;;20.5;;21.1;;21.8;;22.3;;22.9;;23.4;;24.2;;25.0;;25.8;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;43.8;;45.8;;47.8;;49.8;;51.8;;53.8;;55.8;;58.2;;60.7;;63.2;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;44.3;;46.3;;48.3;;50.3;;52.3;;54.3;;56.3;;58.7;;61.2;;63.6;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;68.8;;69.5;;70.3;;71.0;;72.0;;73.0;;74.0;;75.2;;76.5;;77.7;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL DELANTER;;P;CRITICA;;;13.3;;13.5;;13.8;;14.0;;14.5;;15.0;;15.5;;16.1;;16.7;;17.4;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;12.2;;12.3;;12.5;;12.7;;13.1;;13.4;;13.7;;14.1;;14.5;;14.9;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;5.8;;5.8;;5.9;;6.0;;6.0;;6.1;;6.1;;6.2;;6.3;;6.4;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;37.9;;38.4;;38.9;;39.6;;40.7;;42.0;;43.2;;44.7;;46.3;;47.8;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;10.2;;10.6;;11.0;;11.4;;11.8;;12.3;;12.7;;13.3;;13.9;;14.5;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;34.1;;35.0;;35.8;;36.7;;38.0;;39.2;;40.5;;41.9;;43.3;;44.7;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;12.7;;13.5;;14.3;;15.1;;15.7;;16.4;;17.0;;17.9;;18.7;;19.6;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;60.8;;61.6;;62.3;;63.1;;64.1;;65.1;;66.1;;67.4;;68.6;;69.9;;;;;;;
5;LARGO DE TAJO;;P;CRITICA;;;19.5;;19.5;;19.5;;19.5;;19.5;;19.5;;19.5;;19.5;;19.5;;19.5;;;;;;;
6;ANCHO DE TAJO;;P;CRITICA;;;0.9;;0.9;;0.9;;0.9;;0.9;;0.9;;0.9;;0.9;;0.9;;0.9;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;17.2;;17.8;;18.5;;19.1;;19.7;;20.3;;21.0;;21.7;;22.4;;23.3;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;30.2;;31.2;;32.2;;33.3;;34.3;;35.4;;36.4;;37.7;;39.0;;40.3;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;28.1;;29.2;;30.2;;31.2;;32.3;;33.3;;34.3;;35.7;;37.0;;38.3;;;;;;;
V;LARGO DE CUELLO ;;C;CRITICA;;;37.0;;38.0;;38.0;;38.0;;39.0;;40.0;;41.0;;42.0;;43.0;;44.0;;;;;;;
W;ALTO DE CUELLO  EN CENTRO;;C;CRITICA;;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;;;;;;
X;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.2;;6.2;;6.2;;6.2;;6.2;;6.2;;6.2;;6.2;;6.2;;6.2;;;;;;;
Y;LARGO DE PUÑO DERECHO E  IZQUIERDO;;C;CRITICA;;;26.3;;27.3;;28.3;;29.3;;30.3;;31.2;;32.2;;33.5;;34.7;;36.0;;;;;;;
Z;ALTO DE PUÑO DERECHO E  IZQUIERDO;;C;CRITICA;;;2.4;;2.4;;2.4;;2.4;;2.4;;2.4;;2.4;;2.4;;2.4;;2.4;;;;;;;
J1;ANCHO DE HOMBRO INDIVIDUAL ESPALDA;;P;CRITICA;;;13.5;;13.8;;14.0;;14.3;;14.8;;15.3;;15.8;;16.4;;17.1;;17.7;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
