COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;
O;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;6  1/8 ;;6  7/16;;6  9/16;;6 13/16;;6 15/16;;7  5/16;;7  9/16;;;;;;;;;;;;;
P;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  5/16;  5/16;14 13/16;;15  5/16;;15 13/16;;16  9/16;;17  5/16;;18  9/16;;20  5/16;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  1/4 ;  5/16;27      ;;28      ;;29  3/16;;30  1/4 ;;31      ;;31  1/4 ;;31      ;;;;;;;;;;;;;
R;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20      ;;21  1/2 ;;;;;;;;;;;;;
S;SISA RANGLA RECTA DELANTERO ;;P;CRITICA;;;10  1/4 ;;10 13/16;;11  3/8 ;;12  3/16;;12  7/8 ;;14  1/8 ;;15  5/16;;;;;;;;;;;;;
T;SISA RANGLA RECTA ESPALDA;;P;CRITICA;;;12      ;;12  5/8 ;;13  5/16;;14  1/8 ;;15      ;;16  1/4 ;;17  9/16;;;;;;;;;;;;;
U;ABERTURA DE ESCOTE RANGLA;;P;CRITICA;;;4  7/16;;4  3/8 ;;4 13/16;;4 13/16;;5  1/4 ;;5  1/4 ;;5 11/16;;;;;;;;;;;;;
V;ANCHO DE BOCA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;8  5/8 ;;9  1/8 ;;9  5/8 ;;10  1/8 ;;10  5/8 ;;11  5/8 ;;12  5/8 ;;;;;;;;;;;;;
W;ANCHO DE PUÑO EN COSTURA;;C;CRITICA;;;7 13/16;;8  5/16;;8 13/16;;9  5/16;;9 13/16;;10 13/16;;11 13/16;;;;;;;;;;;;;
X;ANCHO DE PUÑO EN CENTRO;;C;CRITICA;;;7  1/2 ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;10  1/2 ;;11  1/2 ;;;;;;;;;;;;;
Y;ALTO DE PUÑO ;;C;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;
Z;ALTO DE BOLSILLO;;C;CRITICA;;;5  3/4 ;;5  3/4 ;;6      ;;6      ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;
A1;ANCHO DE BOLSILLO;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;5      ;;;;;;;;;;;;;
B1;ANCHO DE ENTRETELA BOLSILLO;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;5      ;;;;;;;;;;;;;
C1;ALTO DE ENTRETELA BOLSILLO;;C;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;
D1;LARGO DE CUELLO;;C;CRITICA;;;17      ;;17  1/2 ;;18  3/16;;18 11/16;;19  5/16;;20  3/8 ;;21  1/2 ;;;;;;;;;;;;;
E1;ALTO DE CUELLO;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;
F1;LARGO DE TAPETE CUELLO;;C;CRITICA;;;11  3/8 ;;11 11/16;;12      ;;12  1/4 ;;12  9/16;;13  1/16;;13  9/16;;;;;;;;;;;;;
G1;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
