FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE -PILOTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;3/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01553-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;PH4012;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS'23;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2-3-4-5-6-7-8-9-10-11;;;;;;;;LARG.DE MANGA;;;;3.0%;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA #2;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;YOEL;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;16.4;;16.4;;17.4;;17.4;;18.4;;18.4;;19.4;;19.4;;20.4;;20.4;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.2;;3.2;;3.4;;3.4;;3.6;;3.6;;4.0;;4.0;;4.4;;4.4;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;45.3;;46.7;;48.5;;50.3;;52.1;;53.9;;55.7;;57.5;;59.3;;61.1;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.1;;22.9;;23.7;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;39.4;;41.0;;42.9;;44.8;;46.7;;48.9;;51.1;;53.3;;55.5;;57.7;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;22.1;;22.7;;23.3;;23.9;;24.6;;25.3;;26.1;;27.0;;27.9;;28.9;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;1.00;1.00;47.7;;50.2;;53.7;;57.2;;60.7;;65.2;;69.7;;74.2;;78.7;;83.2;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;45.4;;47.9;;51.4;;54.9;;58.4;;62.9;;67.4;;71.9;;76.4;;80.9;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;76.4;;77.9;;79.4;;80.9;;82.4;;84.4;;86.4;;88.5;;90.5;;92.5;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;15.4;;16.1;;16.6;;17.5;;18.0;;18.9;;19.4;;20.3;;20.7;;21.7;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;15.3;;15.3;;16.3;;16.3;;17.3;;17.3;;18.3;;18.3;;19.3;;19.3;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;8.3;;8.3;;8.8;;8.8;;9.3;;9.3;;9.8;;9.8;;10.3;;10.3;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;44.1;;45.4;;47.2;;49.0;;50.8;;52.5;;54.3;;56.1;;57.9;;59.7;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.0;;22.9;;23.7;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;37.5;;39.1;;40.9;;42.8;;44.7;;46.9;;49.1;;51.3;;53.6;;55.8;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;18.9;;19.6;;20.2;;20.9;;21.6;;22.5;;23.4;;24.4;;25.4;;26.4;;;;;;;
