C;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/16;8 7/8;;9  7/16;;9 7/8;;10  5/16;;10 3/4;;11  7/16;;12 1/8;;;;;;;;;;;;;
D;ANCHO DE PECHO EN SISA ESPALDA ;;P;CRITICA;  3/16;  3/16;10  9/16;;11  1/16;;11  9/16;;12  5/16;;13  1/16;;14  5/16;;15  9/16;;;;;;;;;;;;;
E;ABERTURA DE FALDON ESPALDA ;;P;CRITICA;  3/16;  3/16;10  1/16;;10  9/16;;11  1/16;;11 13/16;;12  9/16;;13 13/16;;15  1/16;;;;;;;;;;;;;
F;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;29 3/8;;30 3/8;;31 3/8;;32 3/8;;33 3/8;;34 3/8;;35 3/8;;;;;;;;;;;;;
G;LARGO EN CENTRO ESPALDA;;P;CRITICA;  3/16;  3/16;27  1/2 ;;28  1/2 ;;29  3/8 ;;30  3/8 ;;31  1/4 ;;32  1/4 ;;33  1/8 ;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;7 11/16;;8  3/16;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;4 7/8;;5    ;;5 1/8;;5 1/4;;5 3/8;;5 5/8;;5 7/8;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  3/16;16 13/16;;17  9/16;;18  5/16;;19  5/16;;20  5/16;;21 13/16;;23  5/16;;;;;;;;;;;;;
K;ANCHO DE PECHO EN SISA DELANTERO ;;P;CRITICA;  3/16;  3/16;20  7/16;;21  7/16;;22  7/16;;23 15/16;;25  7/16;;27 15/16;;30  7/16;;;;;;;;;;;;;
L;ABERTURA DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/16;19 1/2;;20 1/2;;21 1/2;;23    ;;24 1/2;;27    ;;29 1/2;;;;;;;;;;;;;
M;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  1/4 ;7  1/16;;7  9/16;;8  1/16;;8  1/2 ;;8 15/16;;9 11/16;;10  7/16;;;;;;;;;;;;;
N;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27 3/8;;28 3/8;;29 3/8;;30 3/8;;31 3/8;;32 3/8;;33 3/8;;;;;;;;;;;;;
Ñ;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;9 1/8;;9 5/8;;10 3/8;;10 7/8;;11 3/8;;11 7/8;;12 3/8;;;;;;;;;;;;;
O;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;16  3/16;;16 15/16;;17 13/16;;18 11/16;;19 5/8;;20 15/16;;22 1/2;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;13  9/16;;13 3/8;;15  5/16;;16  3/16;;17 1/8;;18 5/8;;20 1/8;;;;;;;;;;;;;
Q;LARGO DE CUELLO;;P;CRITICA;  3/16;  3/16;19      ;;19 5/8;;20  5/16;;20 15/16;;21  5/8 ;;22  7/8 ;;24  1/8 ;;;;;;;;;;;;;
R;ANCHO DE CUELLO;;P;CRITICA;  3/16;  3/16;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;
S;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;10  3/8 ;;10  5/8 ;;11      ;;11 1/4;;11  9/16;;12  1/16;;12 5/8;;;;;;;;;;;;;
T;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;MODELISTA: ROXANA GAMARRA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
