D;HOMBRO INDIVIDUAL;;;;;;P;CRITICA;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;
E;SISA RECTA ESPALDA;;;;;;P;CRITICA;  1/4 ;  1/4 ;7  1/4 ;;;;7  3/4 ;;;;8  1/4 ;;;;8  3/4 ;;;;9  1/2 ;;;;
F;UBICACIÓN MEDIA ESPALDA;;;;;;P;CRITICA;;;5  1/2 ;;;;5  1/2 ;;;;5  1/2 ;;;;5  1/2 ;;;;5  1/2 ;;;;
G;ANCHO MEDIA ESPALDA;;;;;;P;CRITICA;;;9      ;;;;9  1/4 ;;;;9  1/2 ;;;;9  3/4 ;;;;10      ;;;;
H;ANCHO DE  ESPALDA EN LINEA SISA;;;;;;P;CRITICA;;;12  1/16;;;;13  1/16;;;;14  1/16;;;;15  1/16;;;;16  1/2 ;;;;
I;ANCHO DE FALDON;;;;;;P;CRITICA;  3/4 ;  3/8 ;11  3/4 ;;;;12  3/4 ;;;;13  3/4 ;;;;14  3/4 ;;;;16  1/4 ;;;;
J;LARGO DE CUERPO ESPALDA;;;;;;P;CRITICA;  5/16;  1/4 ;24  1/8 ;;;;24  5/8 ;;;;25  1/8 ;;;;25  3/4 ;;;;26  1/4 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CULLO;;;;;;C;CRITICA;;;2  1/2 ;;;;2  1/2 ;;;;2  1/2 ;;;;2  1/2 ;;;;2  1/2 ;;;;
R;LARGO DE CUELLO;;;;;;C;CRITICA;;;32  1/2 ;;;;33  1/4 ;;;;34      ;;;;34  3/4 ;;;;35  1/2 ;;;;
T;ALTO DE COLLARETA SISA;;;;;;C;CRITICA;;;1  5/8 ;;;;1  5/8 ;;;;1  5/8 ;;;;1  5/8 ;;;;1  5/8 ;;;;
S;LARGO COLLARETA SISA;;;;;;C;CRITICA;;;23  1/4 ;;;;24  5/8 ;;;;26      ;;;;27  3/8 ;;;;29  3/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;UNION DE HOMBROS;;;;;  3/16;;;;;;;;;;;;;;;;;;;;
;;;;;;COLLARETA SISA;;;;;  1/8 ;;;;;;;;;;;;;;;;;;;;
;;;;;;CERRADO DE COSTADOS;;;;;  3/16;;;;;;;;;;;;;;;;;;;;
;;;;;;BASTA DE FALDON;;;;;  1/4 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
