COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2XLT;;3XLT;;4XLT;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL DELANTERO Y ESPALDA;;P;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;19      ;;20      ;;21      ;;;;;;;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO ;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR ;;C;CRITICA;;;23  3/4 ;;24  7/8 ;;25  3/4 ;;;;;;;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR E INTERIOR;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR ;;C;CRITICA;;;23  3/4 ;;24  7/8 ;;25  3/4 ;;;;;;;;;;;;;;;;;;;;;
A7;LARGO DE BOLSILLO;;C;CRITICA;;;6  7/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;
A8;ANCHO DE BOLSILLO;;C;CRITICA;;;5  1/4 ;;5  1/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;
A9;LARGO DE ENTRETELA DE BOLSILLO;;C;CRITICA;;;5  1/4 ;;5  1/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;
A10;ALTO DE ENTRETELA DE BOLSILLO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;;;
A11;LARGO DE TAJO DELANTERO;;P;CRITICA;;;6  3/8 ;;6  3/8 ;;6  3/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
