COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE ABERTURA ESPALDA PARTE SUPERIOR;;P;CRITICA;;;4  1/4 ;;4  1/4 ;;4  1/4 ;;4  1/4 ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;18  7/16;;18 13/16;;19  3/16;;19  5/8 ;;20      ;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE BICEPS  EN MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  3/16;;13      ;;13  3/4 ;;14  1/2 ;;15  1/2 ;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  9/16;;10  1/16;;10  5/8 ;;11  3/16;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;
R;LARGO  DE COLLARETA DE CUELLO;;C;CRITICA;;;28  7/16;;29  3/16;;29 15/16;;30 11/16;;31  7/16;;;;;;;;;;;;;;;;;;;;;;
S;ALTO  DE COLLARETA DE CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;
1;LARGO DE ABERTURA ESPALDA PARTE INFERIOR;;P;CRITICA;;;6  3/8 ;;6  3/8 ;;6  3/8 ;;6  3/8 ;;6  3/8 ;;;;;;;;;;;;;;;;;;;;;;
2;"ANCHO DE MEDIO PECHO DELANTERO A 5 1/8""";;P;CRITICA;;;12  3/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  5/8 ;;;;;;;;;;;;;;;;;;;;;;
3;"ANCHO DE MEDIO PECHO ESPALDA A  5 5/8""";;P;CRITICA;;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  7/16;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;OJO. MOLDE REDUCIDO LA TOLERANCIA -3/8 LARGO Y ANCHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;% REAL 4.5X2.5X3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;%REDUCIDO TOLERANCIA  3X1X2  MOLDE CODIFICADO COMO ( AJ );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
