C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22 1/8;;23 1/8;;24 1/8;;25 1/8;;26 5/8;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;22 1/4;;23 1/4;;24 1/4;;25 1/4;;26 3/4;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;7 13/16;;8  1/4 ;;8 11/16;;9  1/4 ;;9  7/8 ;;;;;;;;;;;;;;;;;
G;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;;;;;;;;;;;;;;;;
H;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3 3/8;;3.5;;3 5/8;;3 3/4;;3 7/8;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25. 9/16;;26. 1/16;;26. 9/16;;27. 1/16;;27. 9/16;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22 1/4;;23 1/4;;24 1/4;;25 1/4;;26 3/4;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7 13/16;;8  1/4 ;;8 11/16;;9  1/4 ;;9  7/8 ;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;;;;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/16;;1  7/16;;1  9/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;
N;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ; 7  7/16;; 7  7/16;; 7  7/16;; 7  7/16;; 7  7/16;;;;;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  9/19;;16 3/8;;17  3/16;;17. 15/16;;19      ;;;;;;;;;;;;;;;;;
P;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15. 11/16;;16 1/2;;17 1/4;;18.25;;;;;;;;;;;;;;;;;
Q;LARGO DE  CUELLO RIB;;C;CRITICA;;;15 3/8;;16 1/4;;17    ;;17 3/4;;18 1/2;;;;;;;;;;;;;;;;;
R;ALTO  DE CUELLO RIB;;C;CRITICA;;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ESPALDA;;C;CRITICA;;;12 7/8;;13.25;;13.625;;14;;14 3/8;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE  ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
