COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;20  1/4 ;;21      ;;22      ;;23      ;;24  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/4 ;;2  1/4 ;;2  3/8 ;;2  3/8 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;9      ;;9  9/16;;10  1/16;;10  7/16;;10  7/8 ;;11 15/16;;12  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  3/4 ;;10  3/8 ;;11      ;;11  1/2 ;;12      ;;12  3/8 ;;12  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEP;;P;CRITICA;  3/8 ;  3/8 ;16  3/8 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  1/16;;22  3/8 ;;23  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;15  3/8 ;;16  5/16;;17  5/16;;18  5/16;;20  1/8 ;;21  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE MEDIA LUNA;;C;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  7/16;;8 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE MEDIA LUNA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
R1;ALTO DE CEULLO INTERIOR;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO EXTERIOR;;C;CRITICA;;;11  1/4 ;;11  1/2 ;;11  3/4 ;;12      ;;12  1/4 ;;12  1/2 ;;12  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
S1;ANCHO DE CEULLO INTERIOR;;C;CRITICA;;;11  3/8 ;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;12  5/8 ;;12  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE PECHERA  SUPERIOR-INFERIOR;;C;CRITICA;;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE PECHERA SUPERIOR-INFERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE TAJO;;P;CRITICA;;;4  3/8 ;;4  5/8 ;;4  5/8 ;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;W;;;;;;;;;;;;;;;
W;ANCHO DE TAJO;;P;CRITICA;;;  9/16;;  9/16;;  9/16;;  9/16;;  9/16;;  9/16;;  9/16;;;;;;;;;;;;W;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
