COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO  INFERIOR  INF;;C;CRITICA;;;16 7/8;;17 3/4;;18 5/8;;19 1/2;;20 3/8;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO CENTRO ;;C;CRITICA;;;3 3/4;;3 3/4;;3 3/4;;3 3/4;;3 3/4;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO EXTERIOR SUP;;C;CRITICA;;;14 3/4;;15 1/2;;161/2;;17 3/8;;18 3/16;;;;;;;;;;;;;;;;;
T;ANCHO DE CUELLO  EXTERIOR  INF;;C;CRITICA;;;16 3/4;;17 5/8;;18 1/2;;19 3/8;;20 1/4;;;;;;;;;;;;;;;;;
U;ALTO DE CUELLO CENTRO ;;C;CRITICA;;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;;;;;;;;;;;;;;;;
V;ANCHO DE BANDA INFERIOR SUP;;C;CRITICA;;;18 3/4;;19 1/2;;20 1/2;;21 1/4;;22 3/16;;;;;;;;;;;;;;;;;
W;ALTO DE BANDA  INF;;C;CRITICA;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;;;;;;;;;;;;;;;;
X;BANDA EXTERIOR ;;C;CRITICA;;;18 1/2;;19 3/8;;20 1/4;;21 1/8;;22;;;;;;;;;;;;;;;;;
Y;ALTO BANDA  EXT;;C;CRITICA;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;;;;;;;;;;;;;;;;
Z;ANCHO DE MEDIA LUNA ;;C;CRITICA;;;6 1/2;;6 3/4;;7;;7 1/4;;7 1/2;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIA LUNA ;;C;CRITICA;;;5 1/8;;5 1/8;;5 1/8;;5 1/8;;5 1/8;;;;;;;;;;;;;;;;;
2;ANCHO DE BOLSILLO ;;C;CRITICA;;;5;;5;;5 1/2;;5 1/2;;5 1/2;;;;;;;;;;;;;;;;;
3;ALTO CENTRO DE BOLSILLO ;;C;CRITICA;;;6 1/8;;6 1/8;;6 5/8;;6 5/8;;6 5/8;;;;;;;;;;;;;;;;;
4;ANCHO DE PECHERA ;;C;CRITICA;;;3 1/4;;3 1/4;;3 1/4;;3 1/4;;3 1/4;;;;;;;;;;;;;;;;;
5;ALTO DE PECHERA;;C;CRITICA;;;9;;9;;9;;9;;9;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
