D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  5/16;  5/16;14  1/2 ;;15  3/16;;15  7/8 ;;16  1/2 ;;17  5/8 ;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;7  1/4 ;;7  1/2 ;;7 11/16;;7 15/16;;8  1/8 ;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/4 ;;7  7/8 ;;8;;8  1/8 ;;8  1/4 ;;;;;;;;;;;;;;
H;"ANCHO DE PECHO DELANTERO A 5"" DESDE HPS";;;;  5/16;  5/16;12  1/4 ;;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/2 ;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;27  1/4 ;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  5/16;  5/16;15  3/16;;15  7/8 ;;16  1/2 ;;17  1/8 ;;18  1/8 ;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;7;;7  1/2 ;;8;;8  1/2 ;;9  1/4 ;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;  1/4 ;  1/4 ;8  1/16;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;;;  1/4 ;  1/4 ;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2;;;;;;;;;;;;;;
N;LARGO  CUELLO ;;C;CRITICA;;;25  5/16;;25 15/16;;26  9/16;;27  3/16;;27  7/8 ;;;;;;;;;;;;;;
O;ALTO DE CUELLO ;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;
P;LARGO COLLARETA SISA;;C;CRITICA;;;21  3/16;;22  5/16;;23  1/2 ;;24  5/8 ;;26  3/8 ;;;;;;;;;;;;;;
Q;ALTO COLLARETA SISA;;C;CRITICA;  5/16;  5/16;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;
R;"ANCHO DE ESPALDA A 5""5/8 DESDE HPS";;;;;;12  5/8 ;;13  1/8 ;;13  5/8 ;;14  1/8 ;;14  7/8 ;;;;;;;;;;;;;;
S;ANCHO DE PECHO ESPALDA  EN SISA ;;P;CRITICA;  3/8 ;  3/8 ;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;22  1/4 ;;;;;;;;;;;;;;
T;ANCHO DE FALDON ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;24;;;;;;;;;;;;;;
U;ALTO DE  ALETA DE VENS  DELANTERO-ESPALDA;;P;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;
V;LARGO DE TAPETE DE  CUELLO ;;;;;;13  1/2 ;;13 13/16;;14  1/8 ;;14  7/16;;14  3/4 ;;;;;;;;;;;;;;
W;ANCHO DE TAPETE DE  CUELLO ;;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;
