E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;
F;CAIDA CUELLO DELANTERO;;P;CRITICA;;;3  3/16;;3  5/16;;3  7/16;;3  9/16;;3 11/16;;;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7 15/16;;8  7/16;;8 15/16;;9  7/16;;10  3/16;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;23  1/2 ;;24      ;;24  1/2 ;;25      ;;25  1/2 ;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  1/16;;6  5/16;;6  9/16;;6 13/16;;7  1/16;;;;;;;;;;;;;;;;;;;;;
K;CAIDA CUELLO ESPALDA;;P;CRITICA;;;  9/16;; 11/16;; 13/16;; 15/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;7 15/16;;8  7/16;;8 15/16;;9  7/16;;10  3/16;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;22  7/8 ;;23  3/4 ;;24  5/8 ;;25  1/2 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE COLLARETA SISA;;C;CRITICA;;;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA SISA;;C;CRITICA;;;25      ;;26  1/4 ;;27  1/2 ;;28  5/8 ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE HOMBRO IDIVIDUAL DELANTERO-ESPALDA;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
