C;ANCHO DE HOMBROS ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;21  1/8 ;;22  1/8 ;;23 1/8;;24 1/8;;25  5/8 ;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;7  3/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;22  3/16;;23  3/16;;24  3/16;;25  3/16;;26 11/16;;;;;;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;21      ;;22      ;;23      ;;24      ;;25 1/2;;;;;;;;;;;;;;;;;;
G;LARGO  DESDE EL HPS ESPALDA Y DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;24      ;;24  1/2 ;;25      ;;25  1/2 ;;26      ;;;;;;;;;;;;;;;;;;
H;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  3/16;  3/16;3  1/16;;3  3/16;;3  5/16;;3  7/16;;3  9/16;;;;;;;;;;;;;;;;;;
I;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;7  1/16;;7  1/16;;7  1/16;;7  1/16;;7  1/16;;;;;;;;;;;;;;;;;;
J;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;14 7/8;;15 5/8;;16 3/8;;17 1/8;;18 1/8;;;;;;;;;;;;;;;;;;
K;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;14 1/4;;15    ;;15 3/4;;16  1/2 ;;17 1/2;;;;;;;;;;;;;;;;;;
L;LARGO DE CUELLO ;;C;CRITICA;  3/16;  3/16;15  9/16;;16  5/16;;17  1/16;;17 13/16;;18  9/16;;;;;;;;;;;;;;;;;;
M;ANCHO DE CUELLO;;C;CRITICA;  3/16;  3/16;2  3/16;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;;;;;;;;;;;;;;;;;
N;LARGO DE TAPETE ;;C;CRITICA;;;10 11/16;;11    ;;11 3/8;;11 3/4;;12  1/16;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
