I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;16 13/16;;17 13/16;;18 13/16;;19 13/16;;20 13/16;;21 13/16;;22 13/16;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/16;;9  5/8 ;;9  7/8 ;;10  1/8 ;;10  3/8 ;;10  5/8 ;;10  7/8 ;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/2 ;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;28      ;;28  1/2 ;;29      ;;29  1/2 ;;30      ;;30  1/2 ;;30  1/2 ;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;17      ;;17  3/4 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  1/2 ;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;16  1/4 ;;16 15/16;;17 15/16;;18 11/16;;19  9/16;;20  7/16;;21  7/16;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;12  5/8 ;;13      ;;13  1/2 ;;13  7/8 ;;14  1/4 ;;14  5/8 ;;15  1/8 ;;;;;;;;;;;;;;
S;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;14  3/8 ;;15  3/8 ;;16  3/8 ;;17  3/8 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;;;;;;;;;;;;;
3;ALTO DE MEDID PECHO ESPALDA;;P;CRITICA;;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;15  1/8 ;;16  1/8 ;;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CUELLO 87% LA PRODUCICON = AL PROTO;;;;;NUEVAS MEDIDA , TSC  Y LAYOUIT 28-02-22 PARA PROGRAM AEN MENCIOM;;;;;;;;;;;;;;;;;;;;;;;;;;
