COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE ESPALDA LADO SUPERIOR;;P;CRITICA;;;16  3/16;;16 15/16;;17 15/16;;19  3/16;;20 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;3 15/16;;4  3/16;;4  9/16;;4  7/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO EN CANESU;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;18 15/16;;19 15/16;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;SISA RECTA EN CANESU;;P;CRITICA;  3/8 ;  3/8 ;6  1/16;;6  1/16;;6  1/16;;6  1/16;;6  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA EN CANESU;;P;CRITICA;;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE CANESU CENTRO ESPALDA;;P;CRITICA;;;4  1/4 ;;4  1/4 ;;4  1/4 ;;4  1/4 ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE CANESU EN PARTE INFERIOR;;P;CRITICA;;;16  3/16;;16 15/16;;17 15/16;;19  3/16;;20 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;;;16 11/16;;17  1/4 ;;17  7/8 ;;18  1/4 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  5/8 ;;15  1/8 ;;15  7/8 ;;16  1/2 ;;17  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;27  3/8 ;;28      ;;28  5/8 ;;29  1/8 ;;29  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
