C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;47.5;;48.9;;50.7;;52.5;;54.3;;56.1;;57.9;;59.7;;61.4;;63.2;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;18.8;;19.6;;20.4;;21.2;;22.0;;22.8;;23.6;;24.4;;25.2;;26.0;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;42.1;;43.7;;45.6;;47.5;;49.4;;51.6;;53.8;;56.0;;58.2;;60.4;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;23.0;;23.6;;24.2;;24.9;;25.5;;26.3;;27.2;;28.1;;29.0;;30.0;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;1.00;1.00;51.7;;54.2;;57.7;;61.2;;64.7;;69.2;;73.7;;78.2;;82.7;;87.2;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;50.5;;53.0;;56.5;;60.0;;63.5;;68.0;;72.5;;77.0;;81.5;;86.1;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;74.0;;75.5;;77.0;;78.5;;80.0;;82.0;;84.0;;86.0;;88.0;;90.0;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;16.3;;17.1;;17.5;;18.4;;18.9;;19.8;;20.3;;21.2;;21.7;;22.6;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;14.1;;14.1;;15.1;;15.1;;16.1;;16.1;;17.1;;17.1;;18.2;;18.2;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;8.7;;8.7;;9.2;;9.2;;9.7;;9.7;;10.2;;10.2;;10.7;;10.7;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;45.1;;46.5;;48.3;;50.0;;51.8;;53.6;;55.4;;57.1;;58.9;;60.7;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;15.0;;15.8;;16.6;;17.4;;18.2;;19.0;;19.8;;20.6;;21.4;;22.2;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;39.5;;41.1;;43.0;;44.9;;46.8;;49.0;;51.2;;53.4;;55.6;;57.8;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;19.2;;19.9;;20.6;;21.3;;22.0;;22.9;;23.9;;24.9;;26.0;;27.1;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;70.2;;71.8;;73.3;;74.8;;76.2;;78.3;;80.2;;82.2;;84.2;;86.2;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;62.0;;62.5;;63.0;;63.5;;64.0;;64.5;;65.0;;65.5;;66.0;;66.5;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;39.2;;40.6;;42.5;;44.3;;46.1;;48.9;J;51.8;;54.6;;57.5;;60.3;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;27.1;;27.9;;28.7;;29.5;;30.3;;31.1;;31.9;;32.7;;33.4;;34.2;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;38.0;;38.0;;40.5;;40.5;;43.0;;43.0;;45.5;;45.5;;48.0;;48.0;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;9.0;;9.0;;9.0;;9.0;;9.0;;9.0;;9.0;;9.0;;9.0;;9.0;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;;;;;;
X;LARGO DE PUÑO RIB;;C;CRITICA;;;21.2;;21.8;;22.4;;23.0;;23.7;;24.3;;24.9;;25.5;;26.2;;26.8;;;;;;;
Y;ALTO DE PUÑO RIB;;C;CRITICA;;;11.4;;11.4;;11.4;;11.4;;11.4;;11.4;;11.4;;11.4;;11.4;;11.4;;;;;;;
B1;LARGO DE TAJO DELANTERO;;P;CRITICA;;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;MOLDE PARA PRODUCCION SE LIVERA MISMO % DEL PILOTO SEGÚN RESULTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;
