COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;;;;
L;BOCA DE MANGA ESPALDA ;;P;CRITICA;  5/16;  1/4 ;7  3/4 ;;8  1/8 ;;8  3/8 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
LL;UBICACIÓN DE PECHO ESPALDA ;;P;CRITICA;;;10  3/4 ;;11  3/8 ;;11  7/8 ;;12  3/8 ;;13  1/8 ;;13  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE PECHO ESPALDA  ;;P;CRITICA;;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE CUERPO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;28  5/8 ;;28  7/8 ;;29  3/8 ;;29  7/8 ;;30  3/8 ;;30  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE FALDON ESPALDA ;;P;CRITICA;  3/8 ;  3/16;21  1/8 ;;22  1/16;;23      ;;24      ;;25  5/16;;26  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;4X2.5X3
O;ANCHO DE CUELLO ;;C;CRITICA;;;29      ;;29  5/8 ;;30  7/16;;31  1/8 ;;31  7/8 ;;32  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE CUELLO ;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE TAPETE ;;C;CRITICA;;;16  1/4 ;;16  5/8 ;;17      ;;17  3/8 ;;17  3/4 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
