COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;
Ñ;LARGO DE PUÑO;;C;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;;;;;;;;;;;;;;
O;ALTO DE PUÑO;;C;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;
P;LARGO DE GUSET 1;;P;CRITICA;;;13  1/8 ;;13  1/8 ;;13  1/8 ;;13  1/8 ;;13  1/8 ;;13  1/8 ;;;;;;;;;;;;;;;
Q;ALTO DE GUSET 1;;P;CRITICA;;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;;;;;;;;;;;;;;
R;LARGO DE GUSET 2;;P;CRITICA;;;12  3/4 ;;12  3/4 ;;12  3/4 ;;12  3/4 ;;12  3/4 ;;12  3/4 ;;;;;;;;;;;;;;;
S;ALTO DE GUSET 2;;P;CRITICA;;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;;;;;;;;;;;;;;
T;LARGO DE PARCHE ESPALDA;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;
V;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;;;;;;;;;;;;;;
W;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;13  1/4 ;;14      ;;14  3/4 ;;15  1/2 ;;16  1/4 ;;17      ;;;;;;;;;;;;;;;
X;ALTO DE CUELLO RECTILINEO;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;
Y;LARGO DE TAPP;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;
Z;ALTO DE TAPP;;C;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;
A1;ANCHO DE PECHERA;;C;CRITICA;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;
A2;LARGO DE PECHERA;;C;CRITICA;;;9  1/4 ;;9  1/4 ;;9  1/4 ;;9  1/4 ;;9  1/4 ;;9  1/4 ;;;;;;;;;;;;;;;
A3;LARGO DE TAJO DE PECHERA;;P;CRITICA;;;5 11/16;;5 11/16;;5 11/16;;5 11/16;;5 11/16;;5 11/16;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
