C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  1/4 ;;18      ;;19  3/4 ;;21  1/2 ;;23      ;;24  1/4 ;;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;6  7/8 ;;7      ;;7  1/4 ;;;;;;;;;;;;;;;;;3.0%;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  7/8 ;;17  1/4 ;;18  1/2 ;;20      ;;21  1/8 ;;;;;;;;;;;;;;;;;3.0%;
F;SISA RECTA ESPALDA;;P;CRITICA;;;8 15/16;;9  5/16;;9 11/16;;10  1/16;;10  7/16;;10 13/16;;;;;;;;;;;;;;;;;3.0%;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;24      ;;25  1/2 ;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18 11/16;;20  3/16;;21  3/16;;22  3/16;;23 11/16;;25  3/16;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  3/8 ;;29  3/8 ;;30  3/8 ;;31  3/8 ;;32  3/8 ;;33  3/8 ;;;;;;;;;;;;;;;;;28/06/2023;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;5  7/16;;5 11/16;;6  3/8 ;;7  1/8 ;;7 11/16;;8  1/16;;;;;;;;;;;;;;;;;03931-P1;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  7/16;;6 11/16;;6 13/16;;7  1/16;;7  5/16;;7  3/4 ;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;2  7/8 ;;3  1/8 ;;3  3/8 ;;3  5/8 ;;3  7/8 ;;4  1/8 ;;;;;;;;;;;;;;;;;RUTA TUMBLING;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;19  1/16;;20 13/16;;22  5/16;;23  9/16;;;;;;;;;;;;;;;;;2.0%;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;5  3/4 ;;5  7/8 ;;6      ;;6  1/4 ;;;;;;;;;;;;;;;;;3.0%;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  7/8 ;;17  1/4 ;;18  1/2 ;;20      ;;21  1/8 ;;;;;;;;;;;;;;;;;2.0%;
P;SISA RECTA DELANTERO;;P;CRITICA;;;8      ;;8  7/16;;8  3/4 ;;9  1/8 ;;9  1/2 ;;9 15/16;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  3/8 ;;28  3/8 ;;29  3/8 ;;30  3/8 ;;31  3/8 ;;32  3/8 ;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8  3/16;;8  7/16;;9  7/16;;10 11/16;;10 15/16;;11 15/16;;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;16  7/16;;17  7/16;;18  5/16;;19  1/8 ;;19 15/16;;20  3/4 ;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  5/16;;16  1/16;;16      ;;16  1/4 ;;17  9/16;;18  9/16;;;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO ;;C;CRITICA;;;16  7/16;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/2 ;;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO ;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE ;;C;CRITICA;;;12  3/4 ;;13      ;;13  1/4 ;;13  1/2 ;;13  3/4 ;;14  1/4 ;;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
