R;ALTO  DE  CUELLO;;;;;;;;11  5/8 ;;;;11  5/8 ;;;;11  5/8 ;;;;11  5/8 ;;;;11  5/8 ;;;;11  5/8 
S;LARGO DE COLLARETA DE SISA;;;;;;;;20      ;;;;21  1/8 ;;;;22  1/4 ;;;;23  3/8 ;;;;25      ;;;;26  5/8 
T;ALTO  DE COLLARETA DE SISA;;;;;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16
1;ALTO  DE 1/2 PECHO DELANTERO;;;;;;;;5  1/8 ;;;;5  1/8 ;;;;5  1/8 ;;;;5  1/8 ;;;;5  1/8 ;;;;5  1/8 
2;ANCHO DE 1/2 PECHO DELANTERO;;;;;;  1/4 ;  1/4 ;11  1/4 ;;;;11  3/4 ;;;;12  1/4 ;;;;12  3/4 ;;;;13  1/2 ;;;;14  1/4 
3;ALTO  DE 1/2 PECHO  ESPALDA;;;;;;;;5  5/8 ;;;;5  5/8 ;;;;5  5/8 ;;;;5  5/8 ;;;;5  5/8 ;;;;5  5/8 
4;ANCHO DE 1/2 PECHO  ESPALDA;;;;;;  1/4 ;  1/4 ;12  1/8 ;;;;12  5/8 ;;;;13  1/8 ;;;;13  5/8 ;;;;14  3/8 ;;;;15  1/8 
5;LARGO DE TAPETE ;;;;;;;;11  1/8 ;;;;11  1/2 ;;;;11  7/8 ;;;;12  1/4 ;;;;12  5/8 ;;;;13      
6;ALTO DE TAPETE;;;;;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;UNION DE HOMBROS;;;  1/8 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;CERRADO DE COSTADOS;;;  3/16;;;;;;;;;;YOEL;;;;;;;;;;
;;;;;;BASTA DE FALDON;;;  1/4 ;;;;;;;;;;;;;;;;;;;;
