FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;AMAZON;;;;;;;;;ESTILO PROPIO 1:;;;;;;3759;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;GRACE;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;0.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL-XXL;;;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;TIROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;ENTREPIERNA;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PUÑOS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;
A;ANCHO DE CINTURA DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;6  7/8 ;;7  3/8 ;;7  5/8 ;;8  1/8 ;;8  5/8 ;;9  1/8 ;;9  9/16;;;;;;;;;;;;;
B;ABERTURA DE BOLSILLO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;7  5/16;;;;;;;;;;;;;
C;ANCHO PUNTA DE TIRO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;11      ;;11  1/2 ;;12      ;;12  1/2 ;;13  3/8 ;;14      ;;14  1/2 ;;;;;;;;;;;;;
D;LARGO DELANTERO ;;P;CRITICA;;;31  3/4 ;;32  1/8 ;;32  3/8 ;;32  3/4 ;;33  1/8 ;;33  5/8 ;;33  7/8 ;;;;;;;;;;;;;
E;LARGO DE TIRO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;7  1/2 ;;7  7/8 ;;8  1/8 ;;8  1/2 ;;8  7/8 ;;9  1/4 ;;9  1/2 ;;;;;;;;;;;;;
F;ABERTURA DE BOTAPIE DELANTERO ;;P;CRITICA;;;5  7/8 ;;6      ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7      ;;;;;;;;;;;;;
G;ANCHO DE CINTURA ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;8  3/4 ;;9  3/16;;9  5/8 ;;10  1/8 ;;11      ;;11  1/2 ;;11  7/8 ;;;;;;;;;;;;;
H;ANCHO PUNTA DE TIRO ESPALDA  ;;P;CRITICA;  1/4 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  7/8 ;;15  3/8 ;;16  1/8 ;;16  3 /4;;17  1/4 ;;;;;;;;;;;;;
I;LARGO DE ESPALDA;;P;CRITICA;;;33      ;;33  1/4 ;;33  1/2 ;;34      ;;34  3/8 ;;34  1/2 ;;34  5/8 ;;;;;;;;;;;;;
J;LARGO DE TIRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;9  5/8;;9  7/8 ;;10  1/8 ;;10  1/2 ;;10  7/8 ;;11  1/16;;11  1/4 ;;;;;;;;;;;;;
L;ANCHO DE BOLSILLO ;;P;CRITICA;  1/4 ;  3/8 ;11  5/8 ;;11  5/8 ;;12  1/8 ;;12  1/8 ;;12  3/4 ;;12  3/4 ;;12  3/4 ;;;;;;;;;;;;;
M;ALTO DE BOLSILLO ;;P;CRITICA;;;10  3/8 ;;10  3/8 ;;10  5/8 ;;10  5/8 ;;10  7/8 ;;10  7/8 ;;10  7/8 ;;;;;;;;;;;;;
N;ABERTURA DE PUÑO ;;P;CRITICA;;;7      ;;7  1/4 ;;7  3/8 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;
O;ABERTURA DE PIEZA DE BOLSILLO ;;P;CRITICA;;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;7  9/16;;;;;;;;;;;;;
P;ANCHO PRETINA DELANTERO ;;C;CRITICA;  1/4 ;  3/8 ;13 5/8;;14 5/8;;15  5/8 ;;16  5/8 ;;18  1/8 ;;19  1/8 ;;20  1/8 ;;;;;;;;;;;;;
Q;ALTO DE PRETINA DELANTERO ;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;
R;ANCHO PRETINA ESPALDA ;;C;CRITICA;  1/4 ;  3/8 ;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;19      ;;20      ;;21      ;;;;;;;;;;;;;
S;ALTO DE PRETINA DELANTERO ;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;
T;ANCHO DE PUÑO ;;C;CRITICA;  1/4 ;  3/8 ;8  1/2 ;;8  5/8 ;;9  1/8 ;;9  5/8 ;;10  3/8 ;;10  1/2 ;;10  3/4 ;;;;;;;;;;;;;
U;ALTO DE PUÑO ;;C;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
