COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;LARGO DE SUPERIOR DE MANGA;;P;CRITICA;  7/16;  1/4 ;18  1/16;;18  7/16;;18 13/16;;19  3/16;;19  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;BICEP ANCH SUPERIOR DE MANGA;;P;CRITICA;  7/16;  7/16;13  1/4 ;;14      ;;14  3/4 ;;15  3/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO BOCA DE MANGA;;P;CRITICA;;;9  1/2 ;;10      ;;10  1/2 ;;11  1/16;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;28  1/8 ;;28  3/4 ;;29  1/4 ;;29  7/8 ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"ANCHO DE MEDIO PECHO DELANTERO A 5 3/8""";;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;15      ;;15  3/4 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"ANCHO DE MEDIO PECHO ESPALDA A  5 3/8""";;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;14  7/8 ;;15  1/2 ;;16  1/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
