FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7/09/2022;;;;BASE SOLIDO
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4/04/2023
FECHA DE GENERACION:;;7/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01244-P1;;;;02528-P1
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;;;;2.0%
CLIENTE:;;JCREW;;;;;;;;;ESTILO PROPIO 1:;;;;;;02661-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;2.0%
ESTILO CLIENTE:;;195297;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.5%;;;;;;;2.0%
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;FALL 2023;;;;;;;;TRAVEZ;;;;1.5%;;;;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XXXS-XXS-XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;1.5%;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA 005-007;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;LEANDRO SILVA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7      ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/16;;14  5/16;;14 13/16;;15  5/16;;15  7/8 ;;16  1/2 ;;17  1/16;;17  7/16;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7  1/8 ;;7  7/16;;7  7/8 ;;8  7/16;;8 15/16;;9  7/16;;10      ;;10  7/16;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  5/8 ;;16  1/8 ;;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  5/8 ;;21 15/16;;23  3/16;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20      ;;21  1/4 ;;22  1/2 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;23  1/2 ;;23  3/4 ;  1/2 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  3/4 ;;6  7/8 ;;7  1/16;;7  1/4 ;;7  1/2 ;;7 13/16;;8  1/16;;8  5/16;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/8 ;;3  1/8 ;;3  3/8 ;;3  3/8 ;;3  5/8 ;;3  5/8 ;;3 13/16;;3 13/16;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14      ;;14  1/2 ;;15      ;;15  1/2 ;;16  1/8 ;;16  3/4 ;;17  1/8 ;;;;;;;;;;;;;;;
