COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS-TALL;;S-TALL;;M-TALL;;L-TALL;;XL-TALL;;XXL-TALL;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA;;;14  3/16;;15  3/16;;16  3/16;;17  3/16;;18  5/16;;19  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;13  1/4 ;;14  1/4 ;;15  1/4 ;;16  1/4 ;;17  3/8 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  7/16;  5/16;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  3/4 ;;10  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;LARGO DE PUÑO;;C;CRITICA;;;11  5/8 ;;12  5/8 ;;13  5/8 ;;14  5/8 ;;15  5/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PUÑO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE GUSET 1;;P;CRITICA;;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE GUSET 1;;P;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE GUSET 2;;P;CRITICA;;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE GUSET 2;;P;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO RECTILINEO;;C;CRITICA;;;14  1/4 ;;15      ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;;;;;;;;;;;;;;13  7/8 ;;14  5/8 ;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  5/8 
X;ALTO DE CUELLO RECTILINEO;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE TAPP;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPP;;C;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
A1;ANCHO DE PECHERA PARTE SUPERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
A2;LARGO DE PECHERA ;;C;CRITICA;;;13  1/4 ;;13  1/4 ;;13  1/4 ;;13  1/4 ;;13  1/4 ;;13  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE TAJO DE PECHERA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  3/4 ;;8  3/8 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;16  5/8 ;;17  3/4 ;;18  3/4 ;;19  7/8 ;;20  7/8 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  7/8 ;;7  7/8 ;;7  7/8 ;;8  1/4 ;;9  1/4 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;17      ;;18  1/8 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
5;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;;;6  5/8 ;;7      ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
