H;SISA RECTA ESPALDA BORDE A BORDE;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA  ;;P;CRITICA;  1/4 ;  1/4 ;28      ;;28  1/2 ;;29      ;;29  1/2 ;;30      ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE CUELLO DELANTERO;;P;CRITICA;  5/16;  5/16;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;ALTO DE CUELLO EN CENTRO DELANTERO  A BASE;;P;CRITICA;;;3  1/4 ;;3  1/4 ;;3  1/4 ;;3  1/4 ;;3  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
L;ALTO DE CUELLO LATERAL;;P;CRITICA;;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBROS  DELANTERO;;P;CRITICA;  5/16;  1/4 ;14  3/16;;14 11/16;;15  3/16;;15 11/16;;16  7/16;;;;;;;;;;;;;;;;;;;;;;;
N;SISA RECTA DELANTERO BORDE A BORDE;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8 11/16;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;28      ;;28  1/2 ;;29      ;;29  1/2 ;;30      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE MANGA EN LINEA DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;11  1/4 ;;12      ;;12  3/4 ;;13  1/2 ;;14  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;23      ;;23  1/2 ;;24      ;;24  1/2 ;;25      ;;;;;;;;;;;;;;;;;;;;;;;
R;ABERUTA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  1/4 ;;7  3/4 ;;8  1/8 ;;8  3/4 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
