FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/07/2021;;;
FECHA DE GENERACION:;;28/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1854
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;00866-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;;;
ESTILO CLIENTE:;;AN12770;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.0%;;;;;;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;5.0%;;;;;;;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;LARG.DE MANGA;;;;0.0%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 65;;;;;;;;;MEDIDA :;;;;PULGADA;;LEANDRO YOEL;;;;YOEL;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON Y MANGA;;;;  1/4 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;  5/16;  5/6 ;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ALTO CUELLO ESPALDA  CENTRO A  BASE CUELLO ;;P;CRITICA;;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;;;;;;;;;;;;;;;;;;;;;;
C;ALTO CUELLO  LATERAL;;P;CRITICA;;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;3  7/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE CUELLO EN BASE;;P;CRITICA;  5/16;  1/4 ;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE HOMBOR ESPALDA BODE A BORDE;;P;CRITICA;  5/16;  1/4 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;15  5/8 ;;16  5/8 ;;17  5/8 ;;18  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FLADON DELANTERO Y ESPALDA RECTO;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19 13/16;;;;;;;;;;;;;;;;;;;;;;;
