C;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  5/16;;3  7/16;;3  9/16;;3 11/16;;3 13/16;;4  1/16;;4  5/16;;;;;;;;;;;;;
D;LARGO DE TAJO DELANTERO;;P;CRITICA;;;5  1/16;;5  5/16;;5  5/16;;5  9/16;;5  9/16;;5 13/16;;5 13/16;;;;;;;;;;;;;
F;SISA RECTA DELANTERO ;;P;CRITICA;;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/8 ;;8  5/8 ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;
G;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  7/8 ;;17 11/16;;18  7/16;;19  7/16;;20  7/16;;22  3/16;;23 11/16;;;;;;;;;;;;;
I;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6  1/16;;6  5/16;;6  9/16;;6 13/16;;7  1/16;;7  9/16;;7 15/16;;;;;;;;;;;;;
J;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  3/4 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20  1/4 ;;21  3/4 ;;;;;;;;;;;;;
K;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23  1/2 ;;25      ;;28  1/2 ;;31      ;;;;;;;;;;;;;
N;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;24  1/8 ;;27  5/8 ;;30  1/8 ;;;;;;;;;;;;;
P;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;34  3/4 ;;35  3/4 ;;;;;;;;;;;;;
Q;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  7/16;;7  3/4 ;;7 15/16;;8  1/4 ;;8  1/2 ;;9      ;;9  1/2 ;;;;;;;;;;;;;
R;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;2      ;;2      ;;2  1/8 ;;;;;;;;;;;;;
S;SISA RECTA ESPALDA;;P;CRITICA;;;8  5/16;;8 13/16;;9  5/16;;9  3/4 ;;10  3/16;;11  1/4 ;;11 15/16;;;;;;;;;;;;;
T;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  5/16;;19  1/16;;19  7/8 ;;20  7/8 ;;21  7/8 ;;23  5/8 ;;25  1/8 ;;;;;;;;;;;;;
U;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;9  1/8 ;;9  1/2 ;;;;;;;;;;;;;
V;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  9/16;;16  5/16;;17  1/16;;18  1/16;;19  1/16;;20 13/16;;22  5/16;;;;;;;;;;;;;
X;LARGO DE MANGA;;P;CRITICA;  3/8 ;  5/16;22  3/4 ;;23  5/8 ;;24  5/8 ;;25  1/8 ;;25  5/8 ;;25  1/8 ;;24  3/8 ;;;;;;;;;;;;;
Y;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  9/16;;15  9/16;;16  9/16;;17  9/16;;18  9/16;;20  3/4 ;;22  5/16;;;;;;;;;;;;;
B1;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/2 ;;9  1/4 ;;10      ;;10  1/2 ;;11      ;;11 11/16;;12  3/8 ;;;;;;;;;;;;;
G1;LARGO DE TAPETE;;C;CRITICA;;;13  3/8 ;;13  5/8 ;;13  7/8 ;;14  1/4 ;;14  1/2 ;;15      ;;15  1/2 ;;;;;;;;;;;;;
H1;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
I1;LARGO DE CUELLO;;C;CRITICA;;;17  1/2 ;;18  1/16;;18 11/16;;19  1/4 ;;19  7/8 ;;20 15/16;;22  3/16;;;;;;;;;;;;;
J1;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;
M1;ANCHO DE PECHERA SUPERIOR ;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;
N1;LARGO DE PECHERA SUPERIOR ;;C;CRITICA;;;7  1/2 ;;7  3/4 ;;7  3/4 ;;8      ;;8      ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;
O1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;
P1;LARGO DE PECHERA INFERIOR;;C;CRITICA;;;7  1/2 ;;7  3/4 ;;7  3/4 ;;8      ;;8      ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;
T1;LARGO DE PUÑO;;C;CRITICA;;;7  3/4 ;;8  1/2 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;11      ;;11  3/4 ;;;;;;;;;;;;;
U1;ALTO DE PUÑO;;C;CRITICA;;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;;;;;;;;;;;;
V1;ABERTURA DE TAJO;;P;CRITICA;;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
