E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;22  7/16;;23  7/16;;24  7/16;;25 15/16;;26 15/16;;27 15/16;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;20 1/4;;21 7/8;;23 1/2;;25 13/16;;27 3/8;;29 1/8;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;8    ;;8 3/8;;8 5/8;;9    ;;9 3/8;;9 1/2;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;22 1/8;;22 7/8;;23 5/8;;24 3/8;;25 3/8;;26 3/8;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;1    ;;1    ;;1 1/4;;1 1/4;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;7 3/4;;8    ;;8 1/4;;8 1/2;;8 5/8;;8 3/4;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;18 5/8;;19    ;;19 3/8;;19 7/8;;20 1/8;;20 3/8;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;22  7/16;;23  7/16;;24  7/16;;25 15/16;;26 15/16;;27 15/16;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;20 1/4;;21 7/8;;23 1/2;;25 13/16;;27 3/8;;29 1/8;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;8    ;;8 3/8;;8 5/8;;9    ;;9 3/8;;9 1/2;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;15 1/4;;16    ;;16 3/4;;17 1/2;;18  5/16;;18 3/4;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;15 1/2;;16 1/4;;17    ;;17 3/4;;18 1/2;;19    ;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;5 15/16;;6  3/16;;6  7/16;;6 13/16;;7  1/16;;7  3/16;;;;;;;;;;;;;;;;;
R;LARGO DE REFUERZO;;C;CRITICA;3 1/8;;3 1/8;;3 1/8;;3 1/8;;3 3/8;;3 3/8;;;;;;;;;;;;;;;;;
S;ANCHO DE REFUERZO;;C;CRITICA;4 1/4;;4  1/16;;3  7/8 ;;3 11/16;;3 15/16;;3 3/4;;;;;;;;;;;;;;;;;
T;LARGO DE FUNDILLO-DEL-ESP;;C;CRITICA;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;;;;;;;;;;;;;;;;
U;ANCHO DE FUNDILLO-DEL-ESP;;C;CRITICA;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 1/2;;2 1/2;;;;;;;;;;;;;;;;;
V;ANCHO DE CADERA ESPALDA;;P;CRITICA;14 3/4;;15 3/4;;16 3/4;;18 1/4;;19 1/4;;20 1/4;;;;;;;;;;;;;;;;;
X;LARGO PZA INFERIOR ESPALDA;;P;CRITICA;13  3/16;;13 11/16;;14  3/16;;14 15/16;;15  9/16;;16  3/16;;;;;;;;;;;;;;;;;
W;ANCHO DE CINTURA ESPALDA;;P;CRITICA;13    ;;14    ;;15    ;;16 1/2;;17 1/2;;18 1/2;;;;;;;;;;;;;;;;;
Y;ANCHO DE CADERA DELANTERO;;P;CRITICA;14 3/4;;15 3/4;;16 3/4;;18 1/4;;19  5/16;;20  5/16;;;;;;;;;;;;;;;;;
Z;ANCHO DE CINTURA DELANTERO;;P;CRITICA;13    ;;14    ;;15    ;;16 1/2;;17 1/2;;18 1/2;;;;;;;;;;;;;;;;;
Z1;LARGO PZA INFERIOR DELANTERO;;P;CRITICA;10    ;;10 1/2;;11    ;;11 3/4;;12 3/8;;13    ;;;;;;;;;;;;;;;;;
Z2;LARGO DE COLLARETA ESCOTE;;C;CRITICA;24 1/2;;25 3/8;;26 1/8;;27    ;;27 1/2;;28 1/4;;;;;;;;;;;;;;;;;
Z3;ANCHO DE COLLARETA ESCOTE;;C;CRITICA;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
