B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  7/16;;7  9/16;;7 11/16;;7  3/4 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;;;12  3/8 ;;12  5/8 ;;12  7/8 ;;13  1/8 ;;13  3/8 ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO EN PUNTA DE SISA;;P;CRITICA;  7/16;  7/16;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;19  3/8 ;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;24 15/16;;25  7/16;;25 15/16;;26  7/16;;26 15/16;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO;;P;CRITICA;  7/16;  7/16;16  1/16;;17  1/16;;18  1/16;;19  1/16;;20  9/16;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;;;
V;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;12      ;;12  1/4 ;;12  1/2 ;;12  3/4 ;;13      ;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA EN PUNTA DE SISA;;P;CRITICA;  7/16;  7/16;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;19  3/8 ;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;25  1/2 ;;26      ;;26  1/2 ;;27      ;;27  1/2 ;;;;;;;;;;;;;;;;;;;
O;ANCHO DE FALDON ESPALDA;;P;CRITICA;  7/16;  7/16;16  1/16;;17  1/16;;18  1/16;;19  1/16;;20  9/16;;;;;;;;;;;;;;;;;;;
P;SISA  RECTA DELANTERO;;P;CRITICA;;;6  7/16;;6 15/16;;7  7/16;;8      ;;8  3/4 ;;;;;;;;;;;;;;;;;;;
Q;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  3/4 ;;9  1/2 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;30      ;;30  3/4 ;;31  1/2 ;;32  1/4 ;;33      ;;;;;;;;;;;;;;;;;;;
S;ALTO  DE COLLARETA CUELLO;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA SISA;;C;CRITICA;;;19  1/4 ;;20  1/2 ;;21  7/8 ;;23  1/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO  DE COLLARETA SISA;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;RI000021 - Rib 1x1  40/1  48% Pima Cotton 48% Modal 4% Spandex de 210 gr ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
