FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -PRENDA TUMBLING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27/07/2022;;;BASE DE LA HOJA AJUSTADO EN HOMBRO
FECHA DE GENERACION:;;4/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TSHIRT MANGA LARGA;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;ORIGINAL FAVORITE;;;;;;;;;ESTILO PROPIO 1: ;;;;;;03935-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;01243-P1;;;
ESTILO CLIENTE:;;LONG SLEEVE TEE;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;4.0%;;;;;;;;SOLO SE RENOMBRO DE NOMBRE Y SEGÚN ANALISTA CAMBIA COLORES Y SE CONSIDERO COMO P2;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;5.0%;;;;;;;;;
DIVISION:;;MEN;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;3.0%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;13/12/2022;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;-1.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;01243-P2;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;9/01/2023;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;1.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;29/06/2023;;;
