FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE PRODUCCION ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PILOTO
FECHA DE GENERACION:;;5/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;16/01/2023;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;16/11/2022
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01717-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;L1230;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.5%;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS23;;;;;;;;TRAVEZ;;;;3.5%;;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2-3-4-5-6-7-8-9;;;;;;;;LARG.DE MANGA;;;;3.5%;;;;
TIPO MUESTRA:;;PRODUCCION  PROGRAMA 8;;;;;;;;;MEDIDA :;;;;;;CENTIMETRO;;;;YOEL;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;0.3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;19.5;;19.5;;20.5;;20.5;;21.5;;21.5;;22.5;;22.5;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.5;;3.5;;3.7;;3.7;;3.9;;3.9;;4.2;;4.2;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.20;1.20;48.5;;49.9;;51.7;;53.5;;55.3;;57.1;;58.9;;60.7;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;19.3;;20.1;;20.9;;21.7;;22.5;;23.3;;24.1;;24.9;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.20;1.20;40.0;;41.6;;43.6;;45.5;;47.4;;49.6;;51.8;;54.0;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;24.9;;25.6;;26.1;;26.7;;27.3;;28.1;;28.8;;29.7;;;;;;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;1.00;1.00;49.8;;52.3;;55.8;;59.3;;62.8;;67.3;;71.8;;76.3;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;1.00;1.00;48.7;;51.2;;54.7;;58.2;;61.7;;66.2;;70.7;;75.2;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;1.10;0.70;80.1;;81.6;;83.1;;84.6;;86.1;;88.1;;90.1;;92.1;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;15.3;;16.0;;16.5;;17.4;;17.8;;18.8;;19.2;;20.2;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;16.5;;16.5;;17.5;;17.5;;18.5;;18.5;;19.5;;19.5;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;7.7;;7.7;;8.2;;8.2;;8.7;;8.7;;9.2;;9.2;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.20;1.20;45.7;;47.1;;48.7;;50.4;;52.1;;53.9;;55.6;;57.4;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;15.6;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.20;1.20;37.7;;39.3;;41.3;;43.3;;45.1;;47.3;;49.5;;51.7;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;;;21.3;;21.9;;22.6;;23.3;;24.0;;24.9;;25.8;;26.7;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;1.10;0.70;76.4;;77.9;;79.4;;80.9;;82.4;;84.4;;86.4;;88.4;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.20;0.70;27.3;;28.0;;28.7;;29.4;;30.1;;30.8;;31.5;;32.2;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;45.1;;46.5;;48.3;;50.1;;51.9;;55.0;;58.0;;61.1;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;39.7;;41.0;;42.6;;44.3;;45.9;;48.3;;50.7;;53.0;;;;;;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;40.5;;40.5;;43.0;;43.0;;45.5;;45.5;;48.0;;48.0;;;;;;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;9.0;;9.0;;9.0;;9.0;;9.0;;9.5;;9.5;;9.5;;;;;;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.3;;6.3;;6.3;;6.3;;6.2;;6.7;;6.7;;6.7;;;;;;;;;;;;
X;LARGO DE TAPETE CUELLO;;C;CRITICA;;;57.4;;57.4;;59.9;;59.9;;62.4;;62.4;;65.0;;65.0;;;;;;;;;;;;
Y;ALTO DE TAPETE CUELLO;;C;CRITICA;;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;;;;;;;;;;;
B1;LARGO DE TAJO PECHERA;;P;CRITICA;;;16.2;;16.2;;16.2;;16.2;;16.2;;16.2;;16.2;;16.2;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
