COD.;DESCRIPCIÓN;;P/C;CRITICAL;MARGEN (1);MARGEN (2);;;1X;;2X;;3X;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA DE CUELLO;;C;CRITICAL;;;;;30  5/8 ;;31  3/8 ;;32  1/4 ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA DE CUELLO;;C;CRITICAL;;;;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICAL;;;;;7      ;;7      ;;7      ;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;16  1/2 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICAL;;;;;6  3/8 ;;6  3/8 ;;6  3/8 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;16  1/2 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;;;
Z1;"ANCHO DE CABEZA DE MANGA A 3""";;P;CRITICAL;;;;;10  1/8 ;;10 13/16;;11  1/2 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE PRESILLA;;C;CRITICAL;;;;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;
T;ALTO DE PRESILLA;;C;CRITICAL;;;;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
5;UBICACIÓN DE CINTURA ESPALDA;;P;CRITICAL;;;;;16  1/4 ;;16  1/2 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;
A1;ANCHO DE CINTURA ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;25  3/8 ;;27  3/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;
6;UBICACIÓN DE CADERA  ESPALDA;;P;CRITICAL;;;;;24  3/4 ;;25      ;;25  1/4 ;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE CADERA  ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;28  1/2 ;;30  1/2 ;;32  1/2 ;;;;;;;;;;;;;;;;;;;
7;UBICACIÓN DE CINTURA DELANTERA;;P;CRITICAL;;;;;15  1/2 ;;15  3/4 ;;16      ;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE CINTURA DELANTERA;;P;CRITICAL;  3/8 ;  3/8 ;;;25      ;;27      ;;29      ;;;;;;;;;;;;;;;;;;;
8;UBICACIÓN DE CADERA DELANTERA;;P;CRITICAL;;;;;24  1/8 ;;24  3/8 ;;24  5/8 ;;;;;;;;;;;;;;;;;;;
D1;ANCHO DE CADERA DELANTERA;;P;CRITICAL;  3/8 ;  3/8 ;;;27  7/8 ;;29  7/8 ;;31  7/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
