M;ALTO DE CINTURA DELANTERO;;P;CRITICA;;;14  1/16;;14  5/16;;14  9/16;;14 13/16;;15  1/16;;15  5/16;;;;;;;;;;;;;;;
N;ALTO DE CINTURA ESPALDA;;P;CRITICA;;;15  1/8 ;;15  3/8 ;;15  5/8 ;;15  7/8 ;;16  1/8 ;;16  3/8 ;;;;;;;;;;;;;;;
O;ALTO DE CADERA DELANTERO;;P;CRITICA;;;21  3/16;;21  7/16;;21 11/16;;21 15/16;;22  3/16;;22  7/16;;;;;;;;;;;;;;;
P;ALTO CADERA ESPALDA;;P;CRITICA;;;22  3/8 ;;22  5/8 ;;22  7/8 ;;23  1/8 ;;23  3/8 ;;23  5/8 ;;;;;;;;;;;;;;;
Q;SISA RECTA DELANTERO;;P;CRITICA;;;6  5/16;;6.11/16;;7  1/16;;7  3/8 ;;7  3/4 ;;8  1/16;;;;;;;;;;;;;;;
R;SISA RECTA ESPALDA;;P;CRITICA;;;7  3/4 ;;8  1/8 ;;8  1/2 ;;8  3/4 ;;9  1/8 ;;9  7/16;;;;;;;;;;;;;;;
S;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;22  7/8 ;;23  1/8 ;;23  1/2 ;;23  3/4 ;;24  1/8 ;;24  1/4 ;;;;;;;;;;;;;;;
T;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  7/8 ;;13  3/4 ;;14  5/8 ;;15  5/16;;16  1/2 ;;17  3/8 ;;;;;;;;;;;;;;;
U;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/2 ;;8  3/4 ;;9      ;;9  5/16;;9  5/8 ;;9  7/8 ;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;27  1/8 ;;28      ;;28  3/4 ;;29  3/8 ;;30  1/4 ;;30  3/4 ;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
Y;LARGO DE COLLARETA DE PRESILLA;;C;CRITICA;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;
Z;ALTO DE COLLARETA DE PRESILLA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
